DATE,PRCP,TMAX,TMIN,NROWS,MULT
1950,3153.0,18.15068493150685,-24.676712328767124,365,1.0
1951,2425.0,-1.6876712328767125,-54.96712328767124,365,0.7691087852838566
1952,3901.0,0.5218579234972678,-41.759562841530055,366,1.608659793814433
1953,3394.0,11.76986301369863,-34.49589041095891,365,0.8700333247885158
1954,3658.0,21.95068493150685,-18.476712328767125,365,1.0777843252799058
1955,4145.0,-0.6328767123287671,-42.49041095890411,365,1.133132859486058
1956,3381.0,15.03825136612022,-22.62021857923497,366,0.8156815440289505
1957,4122.0,14.915068493150685,-25.610958904109587,365,1.2191659272404614
1958,3868.0,5.528767123287671,-37.73972602739726,365,0.9383794274623969
1959,4214.0,13.32876712328767,-33.54246575342466,365,1.0894519131334022
1960,3342.0,10.579234972677597,-36.33606557377049,366,0.7930707166587565
1961,3735.0,6.720547945205479,-45.1972602739726,365,1.1175942549371634
1962,2813.0,-16.28219178082192,-67.34794520547945,365,0.7531459170013387
1963,3414.0,-19.013698630136982,-72.08219178082192,365,1.21365090650551
1964,4606.0,12.095628415300547,-32.62568306010929,366,1.3491505565319273
1965,3438.0,-12.07945205479452,-52.79726027397261,365,0.7464177160225792
1966,3761.0,-15.0,-60.07123287671233,365,1.0939499709133218
1967,4186.0,-3.084931506849315,-47.6054794520548,365,1.1130018612071257
1968,3396.0,-28.9344262295082,-81.66120218579235,366,0.8112756808408982
1969,3397.0,4.665753424657535,-41.9013698630137,365,1.0002944640753828
1970,3899.0,-3.2,-46.33150684931507,365,1.1477774506917868
1971,2698.0,-14.597260273972603,-61.15068493150685,365,0.6919723005898949
1972,4543.0,23.046448087431692,-19.311475409836067,366,1.6838398813936248
1973,3876.0,3.723287671232877,-38.26575342465753,365,0.8531807175874973
1974,4802.0,22.421917808219177,-14.2,365,1.23890608875129
1975,3981.0,-5.446575342465754,-48.67671232876712,365,0.8290295710120783
1976,3659.0,10.833333333333334,-25.83879781420765,366,0.9191158000502386
1977,3466.0,-6.942465753424657,-47.038356164383565,365,0.9472533479092649
1978,2604.0,-12.04109589041096,-56.95068493150685,365,0.7512983266012695
1979,3445.0,1.4,-40.56438356164384,365,1.3229646697388633
1980,3393.0,-3.751366120218579,-47.95355191256831,366,0.9849056603773585
1981,3262.0,-4.7753424657534245,-50.917808219178085,365,0.9613910993221338
1982,4043.0,-1.4904109589041097,-46.95342465753425,365,1.239423666462293
1983,4187.0,4.471232876712329,-37.85479452054795,365,1.0356171160029681
1984,4202.0,18.94808743169399,-18.229508196721312,366,1.0035825173155004
1985,3754.0,2.1671232876712327,-37.21917808219178,365,0.8933841028081866
1986,3038.0,4.742465753424658,-37.484931506849314,365,0.8092701118806607
1987,2887.0,-5.879452054794521,-47.64657534246575,365,0.9502962475312706
1988,4801.0,-9.76775956284153,-63.322404371584696,366,1.6629719431936265
1989,3840.0,3.808219178082192,-42.2,365,0.7998333680483233
1990,3585.0,19.4027397260274,-22.887671232876716,365,0.93359375
1991,4646.0,14.523287671232875,-27.495890410958904,365,1.295955369595537
1992,4212.0,11.407103825136613,-31.83060109289617,366,0.9065863108049935
1993,4721.0,3.0191780821917806,-44.43561643835616,365,1.1208452041785375
1994,4268.0,7.158904109589041,-33.99178082191781,365,0.9040457530184283
1995,4211.0,-3.564383561643836,-44.52602739726027,365,0.9866447985004686
1996,4219.0,2.300546448087432,-43.76502732240437,366,1.0018997862740442
1997,5007.0,-0.8876712328767123,-44.81917808219178,365,1.1867741170893578
1998,4141.0,3.695890410958904,-36.465753424657535,365,0.8270421410025963
1999,4468.0,19.791780821917808,-19.15068493150685,365,1.0789664332286888
2000,4922.0,14.262295081967212,-25.639344262295083,366,1.1016114592658908
2001,4304.0,9.008219178082191,-32.07397260273972,365,0.8744412840308817
2002,3865.0,13.542465753424658,-25.12328767123288,365,0.8980018587360595
2003,4350.0,0.7643835616438356,-45.5989010989011,365,1.1254851228978007
2004,5428.0,20.84153005464481,-18.363387978142075,366,1.247816091954023
2005,4501.0,20.4027397260274,-16.065753424657533,365,0.8292188651436994
2006,4583.0,28.578082191780823,-5.010958904109589,365,1.0182181737391691
2007,4380.0,21.46849315068493,-13.01095890410959,365,0.9557058695177831
2008,3363.0,15.502732240437158,-17.275956284153004,366,0.7678082191780822
2009,4817.0,15.802739726027395,-19.832876712328765,365,1.432352066607196
2010,3882.0,12.498630136986302,-23.164383561643834,365,0.805895785758771
2011,5273.0,21.97808219178082,-16.345205479452055,365,1.3583204533745492
2012,4940.0,21.907103825136613,-11.051912568306012,366,0.9368480940641001
2013,4184.0,22.46301369863014,-15.545205479452054,365,0.8469635627530364
2014,4082.0,21.375342465753423,-13.873972602739729,365,0.9756214149139579
2015,5266.0,21.052054794520547,-14.156164383561643,365,1.2900538951494365
2016,3976.0,33.2896174863388,2.579234972677596,366,0.7550322825674136
2017,4957.0,23.27945205479452,-11.104109589041096,365,1.2467303822937625
2018,4591.0,26.063013698630137,-6.049315068493151,365,0.9261650191648174
2019,4953.0,12.468493150684932,-23.45205479452055,365,1.0788499237638858
2020,4908.0,13.773224043715848,-25.562841530054644,366,0.9909145972138098
