DATE,PRCP,NROWS,MULT
1950,10751.0,365,1.0
1951,8932.0,365,0.8308064366105479
1952,8658.0,366,0.9693237796686073
1953,13281.0,365,1.5339570339570339
1954,10049.0,365,0.756644830961524
1955,9508.0,365,0.9461637973927755
1956,10262.0,366,1.0793016407236011
1957,12776.0,365,1.2449814850906256
1958,8014.0,365,0.6272698810269255
1959,7285.0,365,0.9090341901672074
1960,6487.0,366,0.8904598490048043
1961,10918.0,365,1.6830584245413904
1962,8760.0,365,0.8023447517860414
1963,7970.0,365,0.9098173515981736
1964,12257.0,366,1.537892095357591
1965,7997.0,365,0.6524435016725136
1966,9300.0,365,1.1629361010378891
1967,15707.0,365,1.6889247311827957
1968,8404.0,366,0.5350480677404978
1969,8985.0,365,1.0691337458353165
1970,7912.0,365,0.8805787423483584
1971,13434.0,365,1.697927199191102
1972,8711.0,366,0.648429358344499
1973,13727.0,365,1.5758236712202962
1974,10006.0,365,0.7289283893057478
1975,13823.0,365,1.3814711173296021
1976,9276.0,366,0.6710554872314258
1977,8374.0,365,0.9027598102630444
1978,10605.0,365,1.2664198710293766
1979,11320.0,365,1.0674210278170675
1980,10531.0,366,0.9303003533568904
1981,10351.0,365,0.9829076061152787
1982,10650.0,365,1.0288860979615495
1983,15987.0,365,1.5011267605633802
1984,8969.0,366,0.5610183273910052
1985,9271.0,365,1.0336715352882149
1986,11221.0,365,1.2103332973789236
1987,8810.0,365,0.7851350147045718
1988,11573.0,366,1.3136208853575482
1989,15575.0,365,1.3458048906938564
1990,17924.0,365,1.1508186195826646
1991,10482.0,365,0.5848024994420888
1992,13415.0,366,1.2798130127838199
1993,10319.0,365,0.7692135669027208
1994,12464.0,365,1.2078689795522821
1995,11142.0,365,0.8939345314505777
1996,6512.0,366,0.5844552145036798
1997,12957.0,365,1.9897113022113022
1998,12692.0,365,0.9795477348151578
1999,13502.0,365,1.0638197289631264
2000,12485.0,366,0.9246778255073322
2001,9991.0,365,0.8002402883460152
2002,7657.0,365,0.7663897507756982
2003,8975.0,365,1.1721300770536764
2004,11827.0,366,1.3177715877437326
2005,14758.0,365,1.2478227783884333
2006,11744.0,365,0.7957717847946876
2007,14374.0,365,1.2239441416893733
2008,12192.0,366,0.8481981355224711
2009,11297.0,365,0.9265912073490814
2010,7057.0,365,0.6246791183500044
2011,16219.0,365,2.2982853903925182
2012,12067.0,366,0.7440039459892719
2013,11760.0,365,0.9745587138476838
2014,10844.0,365,0.922108843537415
2015,14347.0,365,1.3230357801549244
2016,10117.0,366,0.7051648428242838
2017,13913.0,365,1.3752100425027183
2018,11558.0,365,0.8307338460432688
2019,10918.0,365,0.9446270981138605
2020,13770.0,366,1.2612200036636747
