DATE,PRCP,NROWS
1995,5657.0,246
1996,5555.0,366
1997,6558.0,365
1998,10675.0,365
1999,9181.0,365
2000,8805.0,366
2001,10093.0,365
2002,10272.0,365
2003,7376.0,365
2004,10052.0,366
2005,7895.0,365
2006,8205.0,365
2007,10752.0,365
2008,10009.0,366
2009,8339.0,365
2010,8897.0,365
2011,9175.0,365
2012,9583.0,366
2013,7608.0,365
2014,7350.0,365
2015,8667.0,365
2016,7065.0,366
2017,9980.0,365
2018,6181.0,365
2019,8128.0,365
2020,9405.0,366
2021,8001.0,348
2022,8688.0,365
2023,10412.0,365
2024,6139.0,225
