DATE,PRCP,NROWS
1956,4.0,2
1957,8189.0,365
1958,10699.0,365
1959,10247.0,365
1960,11610.0,366
1961,10264.0,365
1962,9683.0,365
1963,9071.0,365
1964,7844.0,366
1965,9557.0,365
1966,10862.0,365
1967,11816.0,365
1968,9288.0,366
1969,7683.0,365
1970,10734.0,365
1971,7142.0,365
1972,8668.0,366
1973,6997.0,365
1974,10029.0,365
1975,6452.0,365
1976,7997.0,366
1977,9706.0,365
1978,8173.0,365
1979,9242.0,365
1980,7364.0,366
1981,8537.0,365
1982,9382.0,365
1983,8768.0,365
1984,12361.0,366
1985,9765.0,365
1986,9224.0,365
1987,11486.0,365
1988,14094.0,366
1989,7130.0,365
1990,10124.0,365
1991,7623.0,365
1992,7929.0,366
1993,7684.0,365
1994,9292.0,365
1995,9306.0,365
1996,7902.0,366
1997,7900.0,365
1998,10343.0,365
1999,9974.0,365
2000,14991.0,366
2001,11435.0,365
2002,9376.0,365
2003,9351.0,365
2004,9793.0,366
2005,5835.0,339
2006,12757.0,365
2007,9155.0,365
2008,10741.0,366
2009,11929.0,365
2010,7510.0,365
2011,11040.0,365
2012,10679.0,366
2013,10356.0,365
2014,12663.0,365
2015,11942.0,365
2016,7912.0,366
2017,11673.0,365
2018,8544.0,365
2019,13127.0,365
2020,13004.0,366
2021,8824.0,365
2022,9185.0,365
2023,10581.0,365
2024,8045.0,244
