DATE,PRCP,NROWS,MULT
2000,9544.0,366,1.0
2001,10830.0,365,1.1347443419949708
2002,10448.0,365,0.9647276084949216
2003,7866.0,365,0.7528713629402757
2004,10879.0,366,1.3830409356725146
2005,8146.0,365,0.7487820571743726
2006,8860.0,365,1.0876503805548736
2007,10651.0,365,1.2021444695259593
2008,10644.0,366,0.9993427847150502
2009,7973.0,365,0.7490605035700865
2010,8751.0,365,1.0975793302395584
2011,9210.0,365,1.0524511484401782
2012,10470.0,366,1.1368078175895766
2013,7848.0,365,0.7495702005730659
2014,7641.0,365,0.9736238532110092
2015,8765.0,365,1.1471011647690093
2016,7228.0,366,0.8246434683399886
2017,10967.0,365,1.5172938572219148
2018,6996.0,365,0.6379137412236711
2019,8973.0,365,1.282590051457976
2020,9577.0,366,1.0673130502618968
2021,9029.0,349,0.9427795760676622
2022,8317.0,365,0.9211429837191273
2023,11561.0,365,1.390044487194902
