DATE,PRCP,NROWS,MULT
2000,26741.0,366,1.0
2001,22722.0,365,0.849706443289331
2002,18958.0,365,0.8343455681718158
2003,26446.0,365,1.394978373246123
2004,28040.0,366,1.0602737654087575
2005,32983.0,365,1.1762838801711841
2006,25622.0,365,0.7768244247036352
2007,33109.0,365,1.292209819686207
2008,24895.0,366,0.751910356700595
2009,23509.0,365,0.9443261699136373
2010,18593.0,365,0.7908885958569059
2011,37409.0,365,2.0119937610928846
2012,26206.0,366,0.7005266112432837
2013,28501.0,365,1.0875753644203618
2014,28198.0,365,0.9893687940774007
2015,34820.0,365,1.2348393503085324
2016,25894.0,366,0.7436530729465824
2017,28467.0,365,1.0993666486444735
2018,26294.0,365,0.9236659992271753
2019,22462.0,365,0.8542633300372708
2020,33780.0,366,1.5038732080847654
2021,21801.0,365,0.6453818827708704
2022,27124.0,365,1.2441631117838632
2023,24242.0,365,0.8937472349211031
