DATE,PRCP,TMAX,TMIN,NROWS
1973,5827.0,332.6751592356688,223.23353293413174,272
1974,6382.0,327.6623376623377,216.42857142857142,192
1975,0.0,327.71844660194176,216.30434782608697,245
1976,758.0,322.63803680981596,210.13071895424838,224
1977,2276.0,332.28915662650604,220.83870967741936,230
1978,6398.0,325.97285067873304,215.23809523809524,292
1979,9145.0,327.9646017699115,219.86111111111111,321
1980,3394.0,329.05882352941177,210.88709677419354,228
1981,833.0,332.5,225.55555555555554,64
1982,71.0,339.22222222222223,223.33333333333334,15
1983,0.0,312.5,230.33333333333334,6
1984,1351.0,336.6792452830189,220.36363636363637,77
1985,51.0,335.44736842105266,217.64285714285714,51
1986,30.0,332.2903225806452,,39
1987,0.0,342.0,,11
1988,30.0,338.6341463414634,221.42857142857142,95
1989,0.0,346.0833333333333,,42
1990,0.0,348.11764705882354,,19
1993,0.0,324.9230769230769,220.0,17
1994,1771.0,326.9549549549549,226.69230769230768,138
1995,0.0,336.77241379310345,226.1818181818182,175
1996,0.0,327.6170212765957,207.5,173
1997,0.0,334.8137254901961,180.0,134
1998,0.0,355.35,,31
2006,0.0,325.84615384615387,,125
2007,1709.0,332.78846153846155,,311
2008,472.0,326.26666666666665,,232
2009,1470.0,331.91747572815535,230.0,353
2010,0.0,332.85714285714283,222.77777777777777,356
2011,99.0,330.6872427983539,242.0,331
2012,89.0,320.2258064516129,201.0,357
2013,0.0,327.0,181.0,349
2014,0.0,328.86602870813397,,349
2015,0.0,323.6203703703704,,347
2016,0.0,331.96280991735534,,365
2017,0.0,332.66525423728814,,365
2018,0.0,328.89784946236557,,365
2019,0.0,332.0,,362
2020,0.0,315.5777777777778,,362
2021,0.0,337.8,,353
2022,12050.0,347.9846153846154,229.64935064935065,352
2023,14109.0,,227.94,362
2024,16570.0,,228.71929824561403,290
