DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,399.0,348.25274725274727,192.703125,109,1.0
2001,34.0,353.19083969465646,207.5225225225225,314,0.08521303258145363
2002,920.0,340.0191570881226,195.41711229946523,298,27.058823529411764
2003,1138.0,349.86925795053,248.7987421383648,304,1.2369565217391305
2004,51.0,352.893536121673,227.53020134228188,284,0.04481546572934974
2005,3059.0,333.23509933774835,195.92307692307693,329,59.98039215686274
2006,453.0,346.1777108433735,215.94295302013424,353,0.14808761033017326
2007,2595.0,341.8459214501511,208.37777777777777,353,5.728476821192053
2008,1872.0,338.90683229813664,206.1074918566775,342,0.7213872832369942
2009,2678.0,341.5398230088496,205.5,355,1.4305555555555556
2010,2340.0,339.62633451957294,202.42910447761196,312,0.8737864077669902
2011,2298.0,335.1940298507463,207.58609271523176,351,0.982051282051282
2012,4797.0,336.89473684210526,200.9621451104101,359,2.087467362924282
2013,6600.0,284.48387096774195,154.05882352941177,362,1.3758599124452784
2014,2130.0,321.4,167.96296296296296,362,0.32272727272727275
2015,7433.0,335.0,150.23809523809524,358,3.4896713615023476
2016,4558.0,321.5,183.25,364,0.6132113547692721
2017,7202.0,373.3333333333333,226.5,355,1.5800789820096535
2018,1719.0,360.1851851851852,225.0,352,0.23868369897250763
2019,13388.0,350.625,216.5,358,7.78824898196626
2020,8751.0,361.4285714285714,183.07692307692307,365,0.6536450552733791
2021,6097.0,323.84615384615387,162.5,359,0.6967203748143069
2022,9087.0,367.4311926605504,234.94011976047904,349,1.4904051172707888
2023,2221.0,338.1029411764706,210.99358974358972,363,0.2444150984923517
