DATE,PRCP,TMAX,TMIN,NROWS
1951,0.0,304.5643835616438,230.8986301369863,365
1952,0.0,303.9016393442623,230.02732240437157,366
1953,0.0,304.95616438356166,231.5013698630137,365
1954,0.0,306.25753424657535,230.76712328767124,365
1955,0.0,303.4082191780822,229.23835616438356,365
1956,0.0,300.59289617486337,229.06830601092895,366
1957,0.0,306.37808219178083,232.70958904109588,365
1958,0.0,309.67123287671234,231.77534246575343,365
1959,28085.0,308.972602739726,230.8986301369863,365
1960,25426.0,312.0191256830601,232.0928961748634,366
1961,26126.0,305.6958904109589,234.62191780821917,365
1962,31151.0,303.4246575342466,232.34794520547945,365
1963,30568.0,299.76438356164385,230.7780821917808,365
1964,0.0,268.12295081967216,202.63934426229508,366
1965,0.0,305.3205479452055,235.22739726027396,365
1966,0.0,300.4958904109589,225.36164383561643,365
1967,0.0,305.2739726027397,233.93972602739726,365
1968,0.0,303.8387978142076,231.13387978142077,366
1969,0.0,306.2328767123288,233.93698630136987,365
1970,0.0,308.1315068493151,231.83013698630137,365
1971,0.0,303.82465753424657,228.27397260273972,365
1972,0.0,314.2950819672131,231.36338797814207,366
1973,3707.0,315.0027397260274,233.13424657534247,365
1974,4946.0,308.386301369863,232.6876712328767,365
1975,2873.0,313.8191780821918,231.44657534246576,365
1976,1514.0,304.6748633879781,232.0,366
1977,1107.0,283.4958904109589,211.19452054794522,365
1978,12547.0,311.88493150684934,225.2876712328767,365
1979,3467.0,3.5123287671232877,-2.5424657534246577,365
1980,0.0,-20.0,-20.0,366
1981,0.0,-20.0,-20.0,365
1982,0.0,-20.0,-20.0,365
1983,0.0,-20.0,-20.0,365
1984,170.0,-20.0,-20.0,366
1985,1962.0,-20.0,-20.0,365
1986,544.0,-20.0,-20.0,365
1987,0.0,255.64109589041095,184.9917808219178,365
1988,5277.0,321.6584699453552,239.7295081967213,366
1989,19823.0,318.93698630136987,240.15068493150685,365
1990,10215.0,171.7123287671233,129.93972602739726,365
1991,9861.0,27.980821917808218,17.328767123287673,365
1992,12853.0,317.21857923497265,240.20765027322403,366
1993,24203.0,311.27671232876713,241.51232876712328,365
1994,15786.0,310.3041095890411,241.95890410958904,365
1995,12859.0,311.386301369863,239.62739726027397,365
1996,37897.0,308.9617486338798,238.1775956284153,366
1997,22709.0,312.0931506849315,236.6986301369863,365
1998,16118.0,319.35890410958905,239.35890410958905,365
1999,5820.0,309.7178082191781,238.72876712328767,365
2000,17154.0,311.62841530054646,241.49180327868854,366
2001,22998.0,314.20883534136544,235.88755020080322,282
2002,26702.0,314.992277992278,240.12977099236642,283
2003,37188.0,312.912213740458,246.1118881118881,329
2004,26742.0,316.51360544217687,251.86021505376345,357
2005,38200.0,313.1637630662021,251.43214285714285,363
2006,37924.0,314.86875,253.6435331230284,359
2007,36071.0,316.0,246.0891719745223,364
2008,44867.0,313.5443786982249,242.46518987341773,364
2009,34370.0,313.83094555873924,240.7507331378299,365
2010,28864.0,318.0652818991098,238.9673590504451,357
2011,56922.0,313.5880681818182,233.73638968481376,365
2012,33693.0,319.0281690140845,241.10416666666666,365
2013,35603.0,316.88538681948427,235.29682997118155,365
2014,41981.0,315.62606232294615,234.26610644257704,365
2015,31681.0,322.6034482758621,230.23512747875355,365
2016,24413.0,323.53125,239.85,366
2017,43027.0,318.8062678062678,242.15151515151516,365
2018,39348.0,322.319209039548,243.28703703703704,364
2019,19298.0,323.63714285714286,244.46769230769232,365
2020,28701.0,312.2939481268011,242.43312101910828,366
2021,37138.0,310.8785942492013,236.79611650485438,351
2022,38964.0,311.60188087774293,238.78064516129032,361
2023,44648.0,313.20113314447593,246.21498371335505,364
2024,18747.0,318.1111111111111,247.78542510121457,287
