DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,26774.0,314.9344262295082,238.35746606334845,308,1.0
2001,35340.0,313.4672131147541,239.7887323943662,277,1.3199372525584523
2002,33780.0,315.1594684385382,239.71326164874552,347,0.9558573853989814
2003,34949.0,314.2164179104478,239.79591836734693,328,1.034606275902901
2004,31589.0,318.76978417266184,239.10332103321036,349,0.9038599101547969
2005,37608.0,312.54411764705884,237.9156626506024,364,1.190541011111463
2006,37823.0,319.93150684931504,241.3793103448276,360,1.0057168687513296
2007,51346.0,317.2769230769231,238.56370656370655,364,1.357533775744917
2008,44900.0,312.36011904761904,235.9656357388316,364,0.8744595489424687
2009,53474.0,320.77910447761195,237.47727272727272,356,1.190957683741648
2010,46986.0,313.8928571428572,237.8035087719298,357,0.8786700078542843
2011,68022.0,312.3005780346821,235.0268456375839,365,1.4477078278636188
2012,44494.0,314.8892128279884,237.83455882352945,365,0.6541119049719208
2013,44453.0,313.893175074184,239.3840830449827,365,0.9990785274419023
2014,45066.0,314.0198300283286,237.56505576208176,365,1.01378984545475
2015,31273.0,314.52840909090907,236.93410852713177,365,0.6939377801446767
2016,34913.0,315.12320916905446,238.55172413793105,366,1.116394333770345
2017,45129.0,314.5639534883721,239.4937238493724,365,1.292613066765961
2018,29819.0,319.00564971751413,237.6297709923664,364,0.6607502936027831
2019,26265.0,317.0782122905028,236.5783582089552,365,0.8808142459505685
2020,37326.0,316.4685714285714,238.32319391634985,366,1.4211307824100514
2021,48775.0,315.79692307692306,236.2996108949416,352,1.3067298933719123
2022,44627.0,313.46932515337426,236.42049469964664,361,0.9149564325986673
2023,37189.0,320.0993788819876,240.3468468468469,337,0.8333295986734488
