DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,893.0,-102.66939890710384,-177.51092896174865,366,1.0
2001,1598.0,-90.57808219178082,-171.52602739726026,365,1.7894736842105263
2002,1421.0,-104.73972602739724,-183.3041095890411,365,0.8892365456821026
2003,1105.0,-90.74794520547944,-170.48767123287672,365,0.7776213933849402
2004,1665.0,-124.5252808988764,-200.51092896174865,366,1.506787330316742
2005,2655.0,-84.06027397260274,-161.6027397260274,365,1.5945945945945945
2006,1801.0,-95.213698630137,-171.21917808219175,365,0.6783427495291902
2007,2125.0,-85.08493150684932,-164.52876712328768,365,1.1799000555247086
2008,3071.0,-86.18306010928961,-165.65027322404373,366,1.4451764705882353
2009,2231.0,-84.71780821917808,-163.94520547945206,365,0.7264734614132204
2010,2210.0,-78.08241758241758,-158.30494505494505,365,0.9905871806364859
2011,1746.0,-65.96164383561644,-141.9890410958904,365,0.7900452488687782
2012,1703.0,-76.85123966942149,-160.63636363636363,366,0.9753722794959908
2013,1614.0,-89.76712328767124,-169.13698630136986,365,0.9477392836171462
2014,1709.0,-89.06301369863014,-163.47123287671232,365,1.0588599752168526
2015,1469.0,-91.87123287671233,-164.27397260273972,365,0.8595669982445875
2016,989.0,-77.12021857923497,-156.37431693989072,366,0.6732471068754254
2017,767.0,-88.23561643835616,-162.06575342465754,365,0.775530839231547
2018,3509.0,-72.00821917808219,-156.36712328767123,365,4.57496740547588
2019,1543.0,-79.2928870292887,-174.8340425531915,365,0.4397264177828441
2020,2071.0,-20.33684210526316,-120.1530612244898,364,1.3421905379131562
2021,1452.0,-40.365671641791046,-169.28571428571428,359,0.7011105746016417
2022,2427.0,-54.465986394557824,-153.42424242424244,365,1.671487603305785
2023,1479.0,-46.0,-150.57068062827224,365,0.6093943139678616
