DATE,PRCP,TMAX,TMIN,NROWS,MULT
1950,1985,,,365,1.0
1951,2643,,,365,1.331486146095718
1952,3669,,,366,1.3881952326901248
1953,3204,,,365,0.8732624693376942
1954,3682,,,365,1.1491885143570537
1955,2827,12.402739726027397,-68.34520547945205,365,0.7677892449755568
1956,2244,20.546448087431692,-58.62295081967213,366,0.7937743190661478
1957,2934,33.827397260273976,-40.81369863013698,365,1.3074866310160427
1958,3600,27.504109589041096,-49.96712328767124,365,1.2269938650306749
1959,2250,44.942465753424656,-27.975342465753425,365,0.625
1960,2585,38.81693989071038,-41.377049180327866,366,1.1488888888888888
1961,3483,38.37808219178082,-36.83287671232877,365,1.3473887814313346
1962,2746,26.56438356164384,-49.63835616438356,365,0.7884008039046799
1963,2883,43.54520547945206,-34.99452054794521,365,1.049890750182083
1964,3020,41.72950819672131,-32.22950819672131,366,1.0475199445022545
1965,3060,22.575342465753423,-52.02465753424657,365,1.0132450331125828
1966,2561,13.652054794520549,-66.33698630136986,365,0.8369281045751634
1967,2604,33.76164383561644,-43.55342465753424,365,1.0167903162827021
1968,2817,18.092896174863387,-54.39071038251366,366,1.0817972350230414
1969,2447,27.75068493150685,-52.97534246575343,365,0.8686545970891019
1970,2414,34.772602739726025,-46.73424657534247,365,0.9865140988966081
1971,3000,26.86575342465753,-51.11780821917808,365,1.2427506213753108
1972,3692,43.60928961748634,-32.91530054644809,366,1.2306666666666666
1973,3019,30.893150684931506,-48.99178082191781,365,0.8177139761646804
1974,2190,44.11780821917808,-30.934246575342467,365,0.725405763497847
1975,3494,38.13972602739726,-35.52054794520548,365,1.5954337899543378
1976,1894,26.494535519125684,-57.32786885245902,366,0.5420721236405266
1977,2905,24.95342465753425,-51.2,365,1.5337909186906018
1978,3396,24.016438356164382,-55.71232876712329,365,1.1690189328743545
1979,2866,32.72054794520548,-43.55890410958904,365,0.8439340400471143
1980,3005,33.87431693989071,-46.89890710382514,366,1.0484996510816469
1981,4169,19.457534246575342,-57.91232876712328,365,1.3873544093178036
1982,3422,37.21095890410959,-36.8986301369863,365,0.8208203406092588
1983,4754,33.608219178082194,-43.92328767123288,365,1.3892460549386323
1984,2538,35.59016393442623,-40.22950819672131,366,0.5338662179217502
1985,3192,23.32328767123288,-57.298630136986304,365,1.2576832151300237
1986,2310,33.68219178082192,-44.72602739726028,365,0.7236842105263158
1987,3005,24.92054794520548,-50.61643835616438,365,1.300865800865801
1988,2916,30.85792349726776,-47.71857923497268,366,0.9703826955074876
1989,4400,47.6,-25.495890410958904,365,1.5089163237311385
1990,3240,52.347945205479455,-21.03287671232877,365,0.7363636363636363
1991,3243,40.63835616438356,-33.16712328767123,365,1.000925925925926
1992,4033,43.15573770491803,-29.42622950819672,366,1.2436016034535924
1993,4073,35.43287671232877,-39.35890410958904,365,1.0099181750557897
1994,2289,39.09041095890411,-40.345205479452055,365,0.5619936164988951
1995,3242,35.054794520547944,-39.136986301369866,365,1.4163390126692879
1996,2868,36.40983606557377,-40.18852459016394,366,0.8846391116594695
1997,3416,44.85205479452055,-32.87671232876713,365,1.191073919107392
1998,3639,28.816438356164383,-45.9013698630137,365,1.065281030444965
1999,3700,39.44383561643836,-35.42191780821918,365,1.0167628469359715
2000,3573,45.89344262295082,-25.34153005464481,366,0.9656756756756757
2001,3762,39.536986301369865,-36.18630136986302,365,1.0528967254408061
2002,3207,42.87397260273973,-33.83013698630137,365,0.8524720893141946
2003,4021,49.9041095890411,-29.12876712328767,365,1.2538197692547552
2004,4125,47.23224043715847,-27.453551912568305,366,1.0258642128823676
2005,3640,47.42465753424658,-28.693150684931503,365,0.8824242424242424
2006,3187,48.17808219178082,-30.816438356164383,365,0.8755494505494505
2007,3486,49.03013698630137,-28.14794520547945,365,1.0938186382177597
2008,2618,42.55737704918032,-35.82513661202186,366,0.751004016064257
2009,2399,39.68493150684932,-37.01643835616439,365,0.9163483575248281
2010,2612,28.6027397260274,-50.68767123287671,365,1.0887869945810755
2011,3852,53.08219178082192,-23.61917808219178,365,1.4747320061255742
2012,3648,28.57650273224044,-44.95355191256831,366,0.9470404984423676
2013,3889,51.66849315068493,-28.84931506849315,365,1.0660635964912282
2014,2839,47.12876712328767,-30.98904109589041,365,0.7300077140653124
2015,4462,49.131506849315066,-24.04109589041096,365,1.5716801690736175
2016,3634,49.885245901639344,-27.5792349726776,366,0.8144329896907216
2017,3941,39.8986301369863,-35.1945205479452,365,1.0844799119427628
2018,2870,45.28219178082192,-36.46849315068493,365,0.7282415630550622
2019,3990,41.95342465753425,-36.41369863013698,365,1.3902439024390243
2020,3896,51.53278688524591,-21.62021857923497,366,0.9764411027568922
