DATE,PRCP,TMAX,TMIN,NROWS
1978,39690.0,340.32876712328766,231.4794520547945,365
1979,55490.0,344.2958904109589,239.03561643835616,365
1983,831.0,339.8885135135135,211.3978102189781,365
1984,0.0,346.9283582089552,216.8701754385965,366
1985,24060.0,344.13698630136986,225.48219178082192,365
1986,0.0,345.7041095890411,222.93972602739726,365
1987,100.0,349.2328767123288,225.15890410958903,365
1988,290.0,351.23497267759564,228.4207650273224,366
1989,720.0,341.2958904109589,221.13698630136986,365
1990,50.0,339.0876712328767,217.52876712328768,365
1991,200.0,338.1123287671233,225.94520547945206,365
1992,1460.0,333.1502732240437,214.54644808743168,366
1993,39640.0,340.1972602739726,227.7178082191781,365
1994,90.0,348.1315068493151,230.66027397260274,365
1995,24110.0,347.94520547945206,228.44109589041096,365
1996,33980.0,347.6366120218579,228.04644808743168,366
1997,480.0,345.0109589041096,223.62465753424658,365
1998,16600.0,351.9780821917808,228.80547945205478,365
1999,0.0,355.0,228.22435897435898,364
2000,0.0,348.45868945868943,225.3564668769716,366
2001,0.0,354.4550561797753,230.08196721311475,365
2002,0.0,352.02312138728325,229.23127035830618,365
2003,0.0,354.3208092485549,230.45065789473685,365
2004,0.0,351.882183908046,226.67434210526315,366
2005,0.0,355.1386430678466,228.56451612903226,365
2006,0.0,353.46418338108884,231.52280701754387,365
2007,0.0,352.5689655172414,229.57439446366783,365
2008,20.0,355.2305475504323,232.98032786885247,366
2009,0.0,353.7005649717514,234.73417721518987,365
2010,41.0,364.12011173184356,236.04746835443038,365
2011,656.0,345.6531791907515,228.47256097560975,364
2012,41.0,350.028818443804,238.9056603773585,366
2013,15.0,344.4573170731707,242.3309090909091,365
2014,0.0,345.07067137809184,248.418410041841,365
2015,0.0,342.1139705882353,255.5905172413793,365
2016,10.0,341.904,255.37860082304528,365
2017,0.0,294.70588235294116,257.86036036036035,365
2018,401.0,352.85806451612905,256.10280373831773,364
2019,0.0,340.3205128205128,255.94416243654823,365
2020,515.0,362.85929648241205,251.8644859813084,365
2021,749.0,352.4398734177215,261.9083969465649,362
2022,200.0,355.0346153846154,255.69811320754718,365
2023,445.0,368.15384615384613,261.61538461538464,365
2024,0.0,386.0,268.94607843137254,290
