DATE,PRCP,TMAX,TMIN,NROWS
1878,993.0,,,365
1879,4082.0,,,337
1880,1920.0,,,366
1881,1582.0,,,365
1882,1327.0,,,334
1883,1400.0,,,365
1884,742.0,,,366
1885,1468.0,,,365
1886,1176.0,,,365
1887,1965.0,,,365
1888,1813.0,,,366
1889,2344.0,,,365
1890,4289.0,,,335
1891,1958.0,,,275
1892,2042.0,,,366
1893,1136.0,,,304
1894,2264.0,,,365
1895,1931.0,,,335
1896,1583.0,,,304
1897,1072.0,,,365
1898,1356.0,,,365
1899,1800.0,,,365
1900,2406.0,,,365
1901,1707.0,,,365
1902,1050.0,,,365
1903,280.0,,,365
1904,1492.0,,,366
1905,1934.0,,,365
1906,888.0,,,365
1907,1901.0,,,365
1908,1042.0,,,366
1909,3056.0,,,365
1910,996.0,,,365
1911,2447.0,,,334
1912,1112.0,,,366
1913,2127.0,,,334
1914,1533.0,,,365
1915,938.0,,,365
1916,1214.0,,,366
1917,2384.0,,,365
1918,1500.0,,,365
1919,1551.0,,,365
1920,2059.0,,,366
1921,3911.0,,,334
1922,773.0,,,337
1923,1528.0,,,365
1924,1048.0,,,336
1925,2539.0,,,365
1926,282.0,,,334
1927,515.0,,,365
1928,1511.0,,,335
1929,2074.0,,,365
1930,1737.0,,,365
1931,1269.0,,,365
1932,1453.0,,,366
1933,1229.0,,,365
1934,2071.0,,,365
1935,1978.0,,,365
1936,1329.0,,,366
1937,1618.0,,,365
1938,1796.0,,,365
1939,2192.0,,,365
1940,1536.0,,,366
1941,1626.0,,,274
1942,574.0,,,212
1959,435.0,,,28
1960,817.0,,,352
1961,3771.0,,,365
1962,946.0,,,365
1963,3212.0,,,365
1964,1703.0,,,366
1965,2655.0,,,365
1966,637.0,,,365
1967,1926.0,,,365
1968,1552.0,,,355
1969,1706.0,,,333
1970,1406.0,,,334
1971,2115.0,,,351
1972,1460.0,,,351
1973,2391.0,,,365
1974,3915.0,,,365
1975,1890.0,,,365
1976,4042.0,,,366
1977,2673.0,,,365
1978,351.0,,,19
1979,0.0,,170.0,9
1980,0.0,,70.0,4
1981,71.0,,56.666666666666664,10
1982,0.0,227.0,30.75,8
1983,101.0,219.33333333333334,51.666666666666664,9
1984,94.0,260.1666666666667,92.0,7
1985,0.0,294.6666666666667,119.16666666666667,6
1986,10.0,269.14285714285717,79.85714285714286,7
1987,61.0,257.0,87.66666666666667,10
1988,5.0,247.63636363636363,68.1,11
1989,175.0,207.3846153846154,45.38461538461539,13
1990,2233.0,297.2,133.2,365
1991,1783.0,190.0,-13.0,365
1992,0.0,247.77777777777777,70.4,41
1993,295.0,284.125,104.5,8
1994,76.0,273.2,82.8,15
1995,0.0,312.0,,1
1996,0.0,264.0,68.0,6
1997,0.0,282.0,89.25,4
1998,0.0,267.0,97.25,4
1999,0.0,287.5,77.5,2
2001,0.0,290.3333333333333,99.16666666666667,6
2002,0.0,281.6666666666667,63.666666666666664,3
2003,61.0,277.3125,100.52941176470588,18
2004,31.0,263.02941176470586,90.29411764705883,34
2005,0.0,220.0,58.857142857142854,7
2006,158.0,319.2037037037037,126.05555555555556,54
2007,972.0,264.5424836601307,78.58441558441558,308
2008,1004.0,256.94620253164555,78.0880503144654,318
2009,2017.0,257.434250764526,79.8966565349544,329
2010,1533.0,266.012012012012,80.7433628318584,339
2011,1736.0,248.4640522875817,71.68608414239482,309
2012,1678.0,257.419452887538,76.7957957957958,333
2013,1600.0,256.4114114114114,73.25958702064896,339
2014,1889.0,261.61971830985914,81.1949860724234,359
2015,951.0,267.55833333333334,84.99173553719008,363
2016,1241.0,268.1191135734072,85.77747252747253,364
2017,387.0,265.56534090909093,73.52247191011236,356
2018,1262.0,258.0412979351033,75.0906432748538,342
2019,550.0,272.19101123595505,79.54444444444445,360
2020,670.0,265.10227272727275,77.17647058823529,358
2021,1746.0,263.4712643678161,72.48179271708683,357
2022,2044.0,259.5,80.14529914529915,352
2023,686.0,256.5625,76.51820728291317,358
2024,833.0,249.84249084249083,67.07608695652173,277
