DATE,PRCP,TMAX,TMIN,NROWS
1973,3220.0,354.3157894736842,200.08333333333334,156
1974,2301.0,339.8,198.08510638297872,109
1975,0.0,353.0120481927711,203.22784810126583,175
1976,1482.0,342.10526315789474,198.52631578947367,217
1977,1149.0,356.87150837988827,195.66265060240963,206
1978,3593.0,352.27848101265823,199.1818181818182,267
1979,7416.0,351.1070110701107,208.5,293
1980,4811.0,359.8615916955017,218.21167883211677,320
1981,1877.0,358.0916030534351,213.53982300884957,149
1982,2243.0,363.79194630872485,196.19727891156464,180
1983,2350.0,363.2049689440994,214.14814814814815,199
1984,1971.0,363.04571428571427,201.14285714285714,225
1985,5027.0,345.8133971291866,214.67857142857142,236
1986,6307.0,352.4747081712062,207.28333333333333,270
1987,7008.0,355.0956175298805,211.85858585858585,275
1988,10547.0,349.0859872611465,212.0811808118081,335
1989,7249.0,354.20388349514565,210.92635658914728,337
1990,4624.0,360.807570977918,212.94117647058823,340
1991,6476.0,362.636678200692,216.14634146341464,327
1992,7138.0,354.0701754385965,210.852,306
1993,10417.0,358.8519637462236,211.23745819397993,347
1994,9351.0,355.00306748466255,209.71785714285716,335
1995,6508.0,360.32522796352583,212.90995260663507,347
1996,4435.0,371.4458333333333,215.90833333333333,251
1997,4070.0,359.7432432432432,205.79518072289156,314
1998,9226.0,367.5993690851735,217.47450980392156,354
1999,1186.0,357.35472972972974,205.85892116182572,334
2000,4262.0,361.8932384341637,205.77639751552795,305
2001,2117.0,378.7974683544304,204.2394366197183,178
2002,1048.0,365.2835820895522,200.375,82
2003,5253.0,353.7861635220126,198.73426573426573,191
2004,6980.0,361.40425531914894,213.9277108433735,320
2005,9979.0,369.32042253521126,220.3939393939394,312
2006,6386.0,364.5091575091575,209.88059701492537,308
2007,99.0,386.4,248.0,6
2008,3655.0,350.9504132231405,204.27433628318585,123
2009,8657.0,359.7893175074184,214.1090909090909,359
2010,10180.0,370.2418879056047,221.02061855670104,363
2011,6657.0,365.42774566473986,215.0287081339713,364
2012,11503.0,366.42058823529413,220.81372549019608,364
2013,6897.0,368.7142857142857,221.8088888888889,364
2014,12309.0,363.54761904761904,222.34741784037558,351
2015,11107.0,364.86054421768705,221.30985915492957,351
2016,10994.0,372.90342679127724,220.79061371841155,365
2017,14499.0,373.84511784511784,217.47098976109214,365
2018,6847.0,367.765690376569,216.55762081784385,358
2019,9605.0,391.5759162303665,217.9025974025974,356
2020,12632.0,363.2645502645503,224.0086956521739,366
2021,12270.0,371.6941176470588,226.17889908256882,358
2022,11731.0,353.65128205128207,226.38709677419354,358
2023,9591.0,372.1340579710145,232.59595959595958,362
2024,11660.0,372.49377593361,241.56198347107437,289
