DATE,PRCP,TMAX,TMIN,NROWS
1984,2134.0,261.1121495327103,138.55140186915887,214
1985,4207.0,238.04383561643834,121.16164383561645,365
1986,3610.0,233.4904109589041,118.0,365
1987,6532.0,233.9835164835165,127.50549450549451,365
1988,5614.0,237.25479452054793,122.26575342465753,366
1989,8306.0,239.61917808219178,131.18904109589042,365
1990,2840.0,242.71506849315068,126.81369863013698,365
1991,3920.0,237.24109589041095,118.07945205479452,365
1992,2444.0,238.87704918032787,118.06010928961749,366
1993,4979.0,228.72802197802199,112.5989010989011,365
1994,3261.0,243.37534246575342,120.4986301369863,365
1995,5257.0,247.14794520547946,130.11780821917807,365
1996,10571.0,236.775956284153,127.34699453551913,366
1997,7201.0,242.09315068493152,135.01643835616437,365
1998,3018.0,242.52876712328768,124.4986301369863,365
1999,4269.0,236.46575342465752,122.35068493150685,365
2000,5814.0,238.81420765027323,121.5464480874317,366
2001,6792.0,236.42739726027398,128.74520547945207,365
2002,5612.0,238.013698630137,124.87671232876713,365
2003,6446.0,243.94520547945206,129.16164383561645,365
2004,4374.0,243.03551912568307,124.36338797814207,366
2005,2923.0,240.57260273972602,119.03835616438356,365
2006,6289.0,242.2027397260274,127.69589041095891,365
2007,3964.0,240.13150684931506,119.8082191780822,365
2008,4910.0,242.17486338797815,121.18306010928961,366
2009,4725.0,248.83977900552486,128.16712328767125,365
2010,8544.0,240.3178082191781,131.32602739726028,365
2011,5077.0,249.47671232876712,128.43561643835616,365
2012,3355.0,246.38630136986302,121.96164383561644,366
2013,4042.0,237.67123287671234,121.88493150684931,365
2014,5543.0,244.37359550561797,132.68539325842696,356
2015,3662.0,252.43539325842696,133.02808988764045,365
2016,6029.0,246.88251366120218,130.07103825136613,366
2017,5323.0,255.3041095890411,128.1972602739726,365
2018,6393.0,236.86027397260273,123.57260273972602,365
2019,2356.0,248.72876712328767,124.5068493150685,365
2020,5270.0,248.7295081967213,133.9672131147541,366
2021,2536.0,247.6164383561644,129.0958904109589,365
2022,4323.0,254.3232876712329,136.39178082191782,365
2023,3182.0,259.6356164383562,135.05753424657533,365
2024,2918.0,257.87704918032784,135.86475409836066,244
