DATE,PRCP,NROWS
1945,7008,363
1946,8624,337
1947,4191,365
1948,8231,366
1949,9333,365
1950,9914,365
1951,8714,365
1952,6420,366
1953,8683,365
1954,9125,365
1955,5802,365
1956,7085,366
1957,8101,365
1958,7284,365
1959,6888,365
1960,8408,366
1961,7642,365
1962,10646,361
1963,8299,365
1964,8333,366
1965,8952,365
1966,9472,365
1967,12236,365
1968,8966,366
1969,7838,365
1970,7751,365
1971,7695,365
1972,8336,366
1973,7268,365
1974,10091,365
1975,7656,365
1976,6650,366
1977,10866,365
1978,7014,365
1979,8685,365
1980,9757,366
1981,9349,365
1982,10312,365
1983,8635,365
1984,10038,366
1985,8698,365
1986,9859,365
1987,9890,365
1988,12480,366
1989,8555,365
1990,10668,365
1991,8890,365
1992,9145,366
1993,9207,365
1994,9910,365
1995,8824,365
1996,7947,366
1997,7904,365
1998,11820,365
1999,13720,365
2000,14020,366
2001,8450,365
2002,10900,365
2003,9026,365
2004,11233,366
2005,9775,365
2006,12402,365
2007,11190,365
2008,12818,366
2009,11230,365
2010,9070,365
2011,10490,365
2012,12126,366
2013,9481,365
2014,14100,365
2015,10960,365
2016,7647,366
2017,10588,365
2018,8526,365
2019,11908,365
2020,11845,366
2021,8347,365
2022,9363,365
2023,11209,365
2024,8740,244
