DATE,PRCP,NROWS,MULT
2000,10099,366,1.0
2001,6629,365,0.6564016239231607
2002,7712,365,1.163373057776437
2003,7129,365,0.9244035269709544
2004,8243,366,1.1562631505119934
2005,7285,365,0.8837801771199806
2006,7883,365,1.0820864790665752
2007,8442,365,1.0709120893061017
2008,8412,366,0.9964463397299218
2009,7635,365,0.9076319543509273
2010,6674,365,0.8741322855271775
2011,7337,365,1.0993407252022775
2012,9026,366,1.2302030802780428
2013,7026,365,0.7784179038333703
2014,8289,365,1.1797608881298036
2015,8312,365,1.0027747617324165
2016,5388,366,0.6482194417709336
2017,6780,365,1.2583518930957684
2018,5596,365,0.8253687315634218
2019,9069,365,1.6206218727662616
2020,7608,366,0.8389017532252729
2021,6457,365,0.8487118822292324
2022,5820,365,0.9013473749419235
2023,10401,365,1.7871134020618558
