DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,8374.0,,,366,1.0
2001,5909.0,,,365,0.7056364939097206
2002,6753.0,,,365,1.1428329666610255
2003,6627.0,,,365,0.9813416259440249
2004,6549.0,,,366,0.9882299683114532
2005,4609.0,,,365,0.7037715681783479
2006,7899.0,,,365,1.7138207854198308
2007,5248.0,,,365,0.6643878972021775
2008,6258.0,,,366,1.1924542682926829
2009,8253.0,,,365,1.3187919463087248
2010,7006.0,,,365,0.8489034290561008
2011,6700.0,,,365,0.9563231515843562
2012,7203.0,,,366,1.0750746268656717
2013,4113.0,,,365,0.571012078300708
2014,6675.0,,,365,1.6229029905178702
2015,6984.0,,,365,1.0462921348314607
2016,5921.0,,,366,0.847794959908362
2017,5553.0,,,365,0.9378483364296571
2018,5023.0,,,365,0.9045560958040699
2019,6953.0,,,365,1.3842325303603424
2020,6582.0,,,366,0.9466417373795484
2021,7925.0,,,365,1.204041324825281
2022,5889.0,,,365,0.7430914826498423
2023,8404.0,,,365,1.4270674138223807
