DATE,PRCP,TMAX,TMIN,NROWS
1943,17023.0,324.2284122562674,230.86377708978327,365
1944,15801.0,327.6912568306011,236.23262839879155,366
1945,17533.0,327.36827195467424,225.75652173913045,365
1946,13621.0,334.06439393939394,222.95112781954887,365
1947,15153.0,335.9050279329609,232.2289156626506,364
1948,14461.0,326.71270718232046,230.2280701754386,366
1949,13271.0,329.6474820143885,233.52459016393442,306
1950,11003.0,326.9434628975265,231.1912568306011,364
1951,18270.0,330.2191780821918,238.2109589041096,365
1952,18271.0,331.94262295081967,237.92602739726027,366
1953,15867.0,327.87397260273974,238.5808219178082,365
1954,12907.0,333.06849315068496,238.8739726027397,365
1955,13545.0,324.613698630137,230.1456043956044,365
1956,19547.0,324.2049180327869,234.79234972677597,366
1957,20510.0,330.85479452054796,240.7178082191781,365
1958,11697.0,330.9123287671233,240.09315068493152,365
1959,15441.0,332.8904109589041,242.44931506849315,365
1960,14368.0,334.64207650273227,240.96994535519124,366
1961,14186.0,328.26849315068495,242.5972602739726,365
1962,15440.0,321.5178082191781,235.813698630137,365
1963,15130.0,323.31780821917806,235.62465753424658,365
1964,14048.0,324.89890710382514,242.07103825136613,366
1965,13020.0,327.37808219178083,238.57808219178082,365
1966,12607.0,332.9506849315068,245.34794520547945,365
1967,14541.0,329.586301369863,237.52602739726026,365
1968,12509.0,328.92349726775956,238.23497267759564,366
1969,11935.0,328.3424657534247,240.41095890410958,365
1970,19022.0,327.47123287671235,235.82417582417582,365
1971,12239.0,326.3342465753425,230.7835616438356,365
1972,14788.0,331.91506849315067,239.72131147540983,366
1973,9010.0,327.4054794520548,238.77260273972604,365
1974,11277.0,313.5890410958904,229.186301369863,365
1975,9450.0,306.586301369863,226.1013698630137,365
1976,11776.0,315.8551912568306,228.6,366
1977,8858.0,331.0054794520548,242.84657534246574,365
1978,12462.0,328.6767123287671,247.83013698630137,365
1979,5849.0,330.63835616438354,239.5013698630137,365
1980,13315.0,328.73497267759564,241.02459016393442,366
1981,12096.0,323.78612716763007,238.2845188284519,365
1982,10878.0,332.13424657534244,,365
1983,15221.0,328.6575342465753,,365
1984,10194.0,316.8633879781421,,366
1985,9807.0,318.6575342465753,,365
1986,8685.0,323.62331838565024,233.52542372881356,365
1987,6563.0,336.0327102803738,247.36269430051814,365
1988,11410.0,326.9098712446352,243.55080213903744,366
1989,10345.0,330.61965811965814,244.04040404040404,365
1990,12745.0,336.7621145374449,249.14354066985646,365
1991,8913.0,332.9735682819383,237.26984126984127,365
1992,8977.0,336.9406392694064,248.47236180904522,366
1993,17358.0,338.04237288135596,248.98387096774192,365
1994,26934.0,341.6533333333333,249.93103448275863,365
1995,11978.0,335.09777777777776,237.00555555555556,365
1996,16486.0,349.8663967611336,242.74175824175825,366
1997,9566.0,357.4183266932271,253.76410256410256,365
1998,17846.0,337.0042016806723,248.81443298969072,365
1999,2148.0,325.35930735930737,237.53684210526316,364
2000,11282.0,330.6519823788546,238.14835164835165,366
2001,11146.0,337.6171171171171,240.14054054054054,365
2002,10570.0,335.72558139534885,256.25773195876286,365
2003,15842.0,334.51485148514854,253.48704663212436,365
2004,11561.0,336.4148936170213,252.41436464088397,366
2005,17710.0,338.1943127962085,256.17297297297296,365
2006,15041.0,335.83417085427135,259.24120603015075,365
2007,15747.0,331.6875,254.7846153846154,365
2008,15623.0,326.7544642857143,248.34444444444443,360
2009,20285.0,329.2067307692308,246.2090395480226,365
2010,20093.0,330.94054054054055,252.88888888888889,365
2011,20331.0,319.53409090909093,247.48101265822785,302
2012,17088.0,344.11299435028246,262.0522875816994,314
2013,14540.0,340.09090909090907,257.69633507853405,365
2014,13526.0,330.94444444444446,249.85555555555555,365
2015,13260.0,335.39285714285717,251.72043010752688,365
2016,16265.0,337.2280701754386,253.9404761904762,366
2017,19248.0,326.875,250.16374269005848,365
2018,18577.0,328.2680412371134,250.61212121212122,365
2019,10146.0,335.91735537190084,253.14673913043478,365
2020,13294.0,335.3421052631579,253.36216216216215,366
2021,11291.0,330.3727272727273,250.47619047619048,362
2022,17394.0,328.2922077922078,250.0909090909091,365
2023,8658.0,338.3581081081081,258.43333333333334,365
2024,12982.0,343.9805825242718,268.8958333333333,290
