DATE,PRCP,TMAX,TMIN,NROWS
1957,2919.0,204.8913043478261,153.47590361445782,184
1958,7515.0,174.08587257617728,120.58103975535168,365
1963,3312.0,179.1951219512195,121.44680851063829,330
1964,3775.0,163.396,108.91538461538461,358
1965,5001.0,170.69899665551839,113.04198473282443,356
1966,4731.0,190.06737588652481,134.1604938271605,363
1967,6946.0,176.4451410658307,124.97894736842105,350
1968,8979.0,169.46290801186944,118.58666666666667,366
1973,5208.0,166.67701863354037,109.0625,365
1974,3961.0,163.6531365313653,117.29729729729729,351
1975,4053.0,177.36059479553904,128.28571428571428,354
1976,3553.0,160.92198581560282,111.9047619047619,353
1977,3511.0,172.0655737704918,117.578125,362
1978,4717.0,166.15141955835963,115.64206642066421,365
1979,5979.0,173.56401384083046,120.390625,352
1980,5479.0,173.2051282051282,119.32330827067669,358
1981,3607.0,177.0496894409938,122.53571428571429,363
1982,4456.0,167.25449101796409,112.54814814814814,364
1983,5967.0,167.2012012012012,115.33720930232558,365
1984,3546.0,168.79705882352943,120.38162544169612,366
1985,4794.0,165.2694610778443,110.2218045112782,365
1986,1223.0,123.5527950310559,119.03321033210332,340
1987,5514.0,161.72,110.66412213740458,355
1988,6373.0,169.05723905723906,117.71851851851852,361
1989,5349.0,174.2866043613707,115.88194444444444,364
1990,6676.0,177.92170818505338,116.60627177700349,358
1991,5500.0,164.12075471698114,118.03525641025641,357
1992,18699.0,167.90092879256966,106.36824324324324,366
1993,6602.0,155.01195219123505,105.49342105263158,349
1994,6762.0,181.12037037037038,120.9859649122807,364
1995,6074.0,152.9591836734694,116.44406779661017,350
1996,7200.0,168.2883435582822,116.14617940199335,360
1997,6357.0,164.83333333333334,110.60701754385966,362
1998,4889.0,187.6234817813765,129.59745762711864,280
1999,155.0,166.45,129.45344129554655,282
2000,1595.0,206.375,117.853125,341
2001,2222.0,129.41379310344828,124.54113924050633,349
2002,3979.0,180.09019607843138,123.77210884353741,353
2003,3258.0,147.63432835820896,100.83243243243243,252
2004,7827.0,184.89935064935065,121.2824427480916,358
2005,9672.0,181.4857142857143,123.25563909774436,363
2006,6952.0,178.62314540059347,119.28260869565217,365
2007,5897.0,192.70846394984326,131.45149253731344,365
2008,6599.0,185.0621301775148,128.85227272727272,366
2009,6559.0,186.46706586826346,126.67193675889328,365
2010,7449.0,198.5060975609756,136.65725806451613,365
2011,8563.0,166.0057803468208,114.50763358778626,365
2012,8052.0,190.2814371257485,133.68634686346863,366
2013,6283.0,188.6043956043956,126.49586776859505,365
2014,6867.0,201.01945525291828,131.49773755656108,365
2015,6839.0,171.3968253968254,127.92758620689655,365
2016,9944.0,177.43930635838151,125.65397923875433,366
2017,6291.0,175.1492957746479,116.52117263843648,365
2018,6872.0,200.5044776119403,146.5611510791367,364
2019,6010.0,201.30864197530863,147.4224422442244,365
2020,5351.0,183.5974025974026,140.66358024691357,366
2021,9656.0,,146.62264150943398,361
2022,7162.0,186.74183976261128,138.59636363636363,365
2023,8880.0,202.05705705705705,150.26041666666666,365
2024,7212.0,217.205223880597,160.52941176470588,287
