DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,5258.0,163.22857142857143,69.07232704402516,363,1.0
2001,7819.0,215.2117263843648,81.62269938650307,357,1.4870673259794598
2002,6448.0,181.88529411764705,66.29276315789474,356,0.8246578846399796
2003,9271.0,186.9622093023256,72.3,353,1.4378101736972704
2004,7727.0,181.60830860534125,56.1875,366,0.8334591737676627
2005,8497.0,186.45762711864407,58.05685618729097,365,1.099650575902679
2006,9129.0,181.83898305084745,47.91612903225806,365,1.0743791926562316
2007,8337.0,163.01685393258427,37.950819672131146,365,0.9132435096943805
2008,6799.0,170.28925619834712,36.571917808219176,366,0.8155211706848986
2009,12230.0,184.66481994459835,60.4270462633452,365,1.7987939402853361
2010,9573.0,217.01123595505615,88.15772870662461,365,0.7827473426001635
2011,8814.0,183.3221288515406,67.54642857142858,365,0.9207145095581323
2012,11396.0,188.26330532212884,75.96835443037975,366,1.2929430451554345
2013,6600.0,105.82051282051282,72.13479623824452,365,0.5791505791505791
2014,7663.0,267.2352941176471,82.43452380952381,365,1.1610606060606061
2015,8070.0,,77.80185758513932,365,1.0531123580843011
2016,9127.0,,71.3202614379085,366,1.1309789343246592
2017,7073.0,146.47619047619048,109.19341563786008,365,0.7749534348635916
2018,11261.0,162.92857142857142,110.54187192118226,364,1.5921108440548566
2019,9459.0,124.5,97.33035714285714,365,0.8399786875055502
2020,8331.0,94.0,90.51219512195122,366,0.8807484934982557
2021,6443.0,221.83597883597884,109.01293103448276,362,0.7733765454327212
2022,8234.0,172.38325991189427,98.45490196078433,365,1.2779760980909514
2023,12182.0,189.7,108.56930693069307,365,1.4794753461258199
