DATE,PRCP,TMAX,TMIN,NROWS,MULT
1950,7495.0,136.77562326869807,77.92243767313019,363,1.0
1951,10704.0,135.15977961432506,78.2038567493113,364,1.428152101400934
1952,7679.0,133.46703296703296,72.50824175824175,365,0.7173953662182362
1953,5696.0,138.1013698630137,78.94246575342466,365,0.7417632504232322
1954,9332.0,131.53994490358127,77.0771349862259,364,1.6383426966292134
1955,7888.0,132.8781163434903,71.73407202216066,363,0.8452636090870125
1956,7154.0,126.12087912087912,69.34615384615384,365,0.906947261663286
1957,7008.0,140.25761772853187,84.46910112359551,363,0.9795918367346939
1958,9444.0,130.44657534246576,78.38082191780822,365,1.3476027397260273
1959,7778.0,145.67123287671234,84.13698630136986,365,0.8235916984328674
1960,11794.0,134.22131147540983,81.33060109289617,366,1.5163281049112882
1961,8133.0,139.20277777777778,84.07945205479452,365,0.6895879260641004
1962,7043.0,121.6749311294766,68.68956043956044,365,0.8659781138571253
1963,8576.0,116.53150684931506,68.57534246575342,365,1.2176629277296607
1964,8343.0,128.9945355191257,77.69672131147541,366,0.972831156716418
1965,8672.0,126.96164383561644,73.06575342465753,365,1.0394342562627352
1966,9255.0,133.46944444444443,81.35616438356165,365,1.0672278597785978
1967,8872.0,134.93972602739726,81.02465753424657,365,0.9586169638033495
1968,7313.0,128.06830601092895,77.73497267759562,366,0.8242786293958522
1969,7659.0,134.61369863013698,77.94794520547946,365,1.0473130042390264
1970,8475.0,132.56712328767122,77.42191780821918,365,1.1065413239326283
1971,6902.0,135.47123287671232,79.81643835616438,365,0.8143952802359882
1972,5930.0,130.75956284153006,79.37158469945355,366,0.8591712547087801
1973,5577.0,135.5068493150685,79.23287671232876,365,0.9404721753794266
1974,10230.0,135.48219178082192,81.72328767123288,365,1.834319526627219
1975,8179.0,137.4,81.25753424657535,365,0.7995112414467254
1976,7111.0,140.84426229508196,83.70218579234972,366,0.8694216896931165
1977,6924.0,134.88219178082193,83.28767123287672,365,0.9737027141049079
1978,6678.0,132.36712328767123,80.74246575342465,365,0.9644714038128249
1979,8238.0,128.76164383561644,75.14794520547945,365,1.2336028751123091
1980,9524.0,131.8360655737705,80.03825136612022,366,1.1561058509346929
1981,8657.0,131.2876712328767,76.8986301369863,365,0.9089668206635867
1982,8539.0,140.15068493150685,85.87397260273973,365,0.9863694120365023
1983,4171.0,139.34520547945206,86.6,365,0.48846469141585663
1984,9079.0,136.92349726775956,82.29508196721312,366,2.176696235914649
1985,6496.0,128.53424657534248,75.16712328767123,365,0.7154973014649191
1986,8126.0,126.35616438356163,73.5041095890411,365,1.250923645320197
1987,9090.0,128.44657534246576,76.73698630136987,365,1.1186315530396258
1988,7623.0,136.0218579234973,86.23224043715847,366,0.8386138613861386
1989,6652.0,149.26027397260273,93.16438356164385,365,0.8726223271677818
1990,6999.0,147.413698630137,93.86849315068493,365,1.0521647624774504
1991,7823.0,133.07397260273973,80.96986301369863,365,1.1177311044434919
1992,8118.0,138.94535519125682,87.59016393442623,366,1.0377093186756998
1993,8838.0,135.75824175824175,84.07945205479452,365,1.0886917960088691
1994,9753.0,141.9095890410959,92.32876712328768,365,1.103530210454854
1995,6514.0,147.6821917808219,90.13424657534246,365,0.6678970573156977
1996,6422.0,129.5792349726776,75.60109289617486,366,0.9858765735339269
1997,8209.0,143.7945205479452,87.67397260273972,365,1.2782622236063532
1998,8599.0,142.1260273972603,89.66849315068494,365,1.0475088317700085
1999,8198.0,146.21369863013695,92.27671232876712,365,0.9533666705430864
2000,10623.0,143.13934426229508,84.96174863387978,366,1.2958038545986825
2001,9255.0,142.12328767123287,84.76712328767124,365,0.8712228184128777
2002,10180.0,149.01643835616437,94.27671232876712,365,1.0999459751485683
2003,6383.0,147.16712328767125,89.02465753424657,365,0.6270137524557957
2004,6826.0,145.1584699453552,90.39071038251366,366,1.06940310198966
2005,6136.0,145.52328767123288,88.96986301369863,365,0.8989159097568122
2006,5774.0,149.0027397260274,94.92876712328768,365,0.9410039113428944
2007,7299.0,152.37534246575342,89.87945205479453,365,1.2641149982680984
2008,7717.0,147.10109289617486,86.66666666666667,366,1.0572681189204
2009,8624.0,148.95342465753424,87.85205479452055,365,1.1175327199688998
2010,7183.0,135.92054794520547,73.13972602739726,365,0.8329081632653061
2011,6293.0,152.04657534246576,92.82739726027395,365,0.8760963385771962
2012,9523.0,143.60382513661202,82.9535519125683,366,1.5132687112664867
2013,8298.0,139.86849315068494,80.36490250696379,365,0.8713640659456053
2014,9987.0,157.70670391061452,90.63128491620112,365,1.2035430224150399
2015,8547.0,150.80547945205478,88.0521978021978,365,0.8558125563232202
2016,5750.0,152.06575342465754,86.69315068493151,366,0.6727506727506728
2017,4426.0,157.95890410958904,85.87818696883852,357,0.7697391304347826
2018,381.0,159.1936507936508,97.17894736842103,353,0.08608224130140081
2019,251.0,152.77448071216617,91.08484848484848,346,0.6587926509186351
2020,3255.0,160.46902654867256,97.27433628318585,358,12.96812749003984
