DATE,PRCP,TMAX,TMIN,NROWS
2000,0.0,93.0,,1
2001,18835.0,121.03013698630137,50.534246575342465,365
2002,20584.0,124.49450549450549,59.68493150684932,365
2003,14529.0,128.2,55.893150684931506,365
2004,20804.0,121.83013698630137,57.759562841530055,366
2005,15900.0,126.2986301369863,57.9013698630137,365
2006,17948.0,128.93972602739726,58.42739726027397,365
2007,15718.0,128.83013698630137,55.95342465753425,365
2008,22238.0,119.9672131147541,51.278688524590166,366
2009,17857.0,119.64187327823691,52.543956043956044,365
2010,13958.0,114.1972602739726,38.62739726027397,365
2011,7497.0,117.96067415730337,40.18333333333333,181
2012,11532.0,,,184
2013,14241.0,,,337
2014,16460.0,,,365
2015,17904.0,,,365
2016,16136.0,,,335
2017,19818.0,,,365
2018,14496.0,,,365
2019,18996.0,,,365
2020,20470.0,,,366
2021,19274.0,,,365
2023,2450.0,,,35
2024,7012.0,,,125
