DATE,PRCP,TMAX,TMIN,NROWS
1973,5540.0,121.9814241486068,47.54716981132076,364
1974,5167.0,125.8044164037855,50.17857142857143,365
1975,5067.0,126.78899082568807,48.25581395348837,364
1976,4513.0,128.8181818181818,53.64661654135338,366
1977,6009.0,118.07339449541284,49.553903345724905,365
1978,6386.0,115.31722054380664,49.88167938931298,365
1979,5792.0,113.29268292682927,44.96350364963504,364
1980,6895.0,121.63009404388714,52.897526501766784,366
1981,5898.0,123.39682539682539,46.908396946564885,365
1982,6249.0,134.925,51.39252336448598,365
1983,5176.0,134.72413793103448,51.7887323943662,365
1984,6895.0,130.5210355987055,51.87391304347826,366
1985,7117.0,115.96845425867508,45.26190476190476,365
1986,4990.0,118.62738853503184,45.641975308641975,365
1987,5695.0,115.04629629629629,49.392561983471076,365
1988,6273.0,128.68615384615384,54.37229437229437,365
1989,3952.0,130.9090909090909,56.17299578059072,365
1990,7708.0,133.66666666666666,53.039603960396036,365
1991,4632.0,124.33788395904436,54.21951219512195,365
1992,5255.0,131.86832740213524,52.91428571428571,366
1993,4974.0,120.51525423728813,47.29223744292238,365
1994,6264.0,126.83225806451613,49.064935064935064,365
1995,6424.0,130.10097719869708,54.06926406926407,365
1996,3853.0,124.983922829582,52.757446808510636,366
1997,5698.0,135.3967741935484,57.878787878787875,365
1998,5938.0,128.2774193548387,56.275555555555556,365
1999,7177.0,134.44630872483222,59.047413793103445,364
2000,6569.0,130.81954887218046,50.84688995215311,366
2001,7476.0,127.11284046692607,49.28787878787879,365
2002,6172.0,137.02325581395348,57.83177570093458,365
2003,3815.0,143.1038961038961,-6.747863247863248,365
2004,6369.0,135.11111111111111,-9.261194029850746,366
2005,5956.0,138.6978021978022,34.58518518518518,365
2006,6357.0,144.87113402061857,34.60144927536232,365
2007,6724.0,131.2277777777778,30.193050193050194,365
2008,6364.0,135.61340206185568,31.369230769230768,366
2009,6519.0,134.03555555555556,21.40239043824701,365
2010,6791.0,126.83582089552239,42.431472081218274,365
2011,6584.0,143.6425702811245,52.97549019607843,365
2012,5986.0,126.67293233082707,49.4780487804878,366
2013,5525.0,134.21804511278197,49.259433962264154,364
2014,7669.0,140.85,56.529411764705884,361
2015,6231.0,135.45967741935485,47.522167487684726,365
2016,6353.0,121.06382978723404,55.46534653465346,366
2017,7383.0,134.64583333333334,58.63054187192118,365
2018,4443.0,147.59183673469389,49.71563981042654,365
2019,7933.0,137.0952380952381,53.005208333333336,365
2020,6576.0,142.04255319148936,54.24401913875598,364
2021,6457.0,129.46987951807228,49.61702127659574,363
2022,5166.0,145.89928057553956,53.860169491525426,365
2023,7843.0,138.53546099290782,51.38288288288288,365
2024,5293.0,145.28333333333333,56.21546961325967,290
