DATE,PRCP,NROWS
1937,6626.0,217
1938,11835.0,365
1939,9457.0,365
1940,10800.0,366
1941,7550.0,334
1942,14084.0,365
1943,9831.0,365
1944,11249.0,343
1945,12566.0,346
1946,15239.0,331
1947,11635.0,351
1948,13927.0,321
1949,12586.0,365
1950,11493.0,365
1951,13959.0,365
1952,11432.0,366
1953,11169.0,365
1954,8664.0,365
1955,12289.0,365
1956,12771.0,366
1957,12242.0,365
1958,10701.0,365
1959,10779.0,365
1960,10876.0,366
1961,14094.0,365
1962,12724.0,365
1963,13290.0,334
1964,16477.0,366
1965,10860.0,334
1966,13084.0,365
1967,14414.0,365
1968,10314.0,366
1969,12098.0,365
1970,11594.0,365
1971,14248.0,365
1972,14783.0,366
1973,15705.0,365
1974,13708.0,335
1975,14072.0,365
1976,14603.0,366
1977,15204.0,365
1978,11474.0,365
1979,16260.0,365
1980,14942.0,366
1981,13011.0,365
1982,17246.0,365
1983,13587.0,364
1984,13171.0,366
1985,10072.0,334
1986,9620.0,365
1987,9689.0,364
1988,8448.0,366
1989,17560.0,365
1990,14472.0,365
1991,14236.0,365
1992,13884.0,327
1993,9019.0,334
1994,14277.0,365
1995,13710.0,365
1996,13348.0,366
1997,15360.0,365
1998,13980.0,365
1999,10601.0,365
2000,11579.0,366
2001,12279.0,365
2002,15443.0,365
2003,13980.0,365
2004,12747.0,366
2005,13382.0,365
2006,11126.0,365
2007,7149.0,365
2008,9927.0,366
2009,16837.0,365
2010,13183.0,365
2011,11268.0,353
2012,7912.0,301
2013,16232.0,332
2014,9609.0,299
2015,7425.0,150
2016,6890.0,366
2017,12550.0,365
2018,14303.0,338
2019,9428.0,347
2020,14660.0,335
