DATE,PRCP,TMAX,TMIN,NROWS
1895,2583.0,69.11538461538461,-33.90384615384615,61
1896,8204.0,193.86065573770492,76.4207650273224,366
1897,6650.0,192.97808219178083,75.88219178082191,365
1898,13065.0,176.67945205479452,74.69589041095891,365
1899,8980.0,183.63835616438357,70.02191780821917,365
1900,8700.0,189.9041095890411,79.43287671232876,365
1901,5757.0,203.70247933884298,73.42739726027398,365
1902,12511.0,191.48076923076923,71.14404432132964,365
1903,11277.0,189.1027777777778,64.36438356164383,365
1904,12191.0,196.7622950819672,66.09562841530055,366
1905,8954.0,194.3543956043956,65.86263736263736,365
1906,8991.0,195.34733893557424,72.94871794871794,365
1907,9538.0,202.9532967032967,75.16712328767123,365
1908,12361.0,206.73497267759564,79.81967213114754,366
1909,8648.0,205.2931506849315,73.66027397260274,365
1910,6965.0,208.94246575342467,73.16804407713498,365
1911,8980.0,212.8489010989011,79.9945205479452,365
1912,8893.0,190.85245901639345,62.939890710382514,366
1913,8101.0,208.06575342465754,78.43835616438356,365
1914,7926.0,202.23561643835617,78.72876712328767,365
1915,14644.0,191.53972602739725,68.3013698630137,365
1916,9815.0,203.69747899159663,59.57260273972603,366
1917,4928.0,210.98326359832635,57.0,243
1937,6994.0,197.67365269461078,78.73573573573573,334
1938,9630.0,78.04347826086956,-54.6551724137931,365
1939,6305.0,,,365
1940,8945.0,,,366
1941,15774.0,,,365
1942,11614.0,,,365
1943,11461.0,,,365
1944,14835.0,,,366
1945,12541.0,,,365
1946,6002.0,,,365
1947,9885.0,,,341
1948,11705.0,,,342
1949,9655.0,,,365
1950,7596.0,,,219
1952,483.0,,,41
1953,5934.0,,,273
1954,8928.0,,,365
1955,8507.0,,,365
1956,6424.0,,,366
1957,9584.0,,,365
1958,10842.0,,,359
1959,9078.0,,,365
1960,8454.0,,,365
1961,13073.0,,,353
1962,7820.0,,,365
1963,5558.0,,,365
1964,9590.0,,,366
1965,9120.0,,,365
1966,6497.0,,,365
1967,11876.0,,,365
1968,9256.0,,,366
1969,12055.0,,,365
1970,9631.0,,,364
1971,10448.0,,,365
1972,8727.0,,,366
1973,15664.0,,,365
1974,11564.0,,,365
1975,9981.0,,,365
1976,7216.0,,,335
1977,10451.0,,,365
1978,7678.0,,,365
1979,11575.0,,,365
1980,6219.0,,,366
1981,10401.0,,,365
1982,10257.0,,,365
1983,10669.0,,,365
1984,10618.0,,,366
1985,14372.0,,,365
1986,13680.0,,,365
1987,11951.0,,,365
1988,8708.0,,,366
1989,9320.0,,,365
1990,12513.0,,,365
1991,7322.0,,,365
1992,14805.0,,,366
1993,12026.0,,,365
1994,9312.0,,,304
1995,10050.0,,,364
1996,8687.0,,,365
1997,10132.0,,,365
1998,12791.0,,,365
1999,7869.0,,,364
2000,7711.0,,,366
2001,11476.0,,,365
2002,8788.0,,,365
2003,9215.0,,,365
2004,11542.0,,,366
2005,9386.0,,,365
2006,6038.0,,,304
2007,11264.0,,,365
2008,12961.0,,,366
2009,9853.0,,,273
2011,2363.0,,,61
2012,3615.0,,,183
2013,13687.0,,,365
2014,4064.0,,,234
2016,11970.0,,,306
2017,12311.0,,,365
2018,12655.0,,,365
2019,15915.0,,,358
2020,9530.0,,,366
2021,12908.0,,,365
2022,9100.0,,,365
2023,6946.0,,,365
2024,9753.0,,,249
