DATE,PRCP,TMAX,TMIN,NROWS
1978,2437.0,,,93
1979,9487.0,,,365
1980,8176.0,,,366
1981,10014.0,,,365
1982,10405.0,,,365
1983,14549.0,,,365
1984,11209.0,,,366
1985,10146.0,-16.24742268041237,-123.49484536082474,365
1986,10366.0,79.66666666666667,-76.40277777777777,365
1987,8571.0,50.88186813186813,-79.54945054945055,365
1988,10192.0,37.12154696132597,-96.56353591160222,366
1989,9029.0,53.11780821917808,-73.84657534246575,365
1990,9523.0,71.33698630136986,-67.76712328767124,365
1991,10334.0,66.35342465753425,-69.2986301369863,365
1992,8762.0,67.28021978021978,-65.40934065934066,366
1993,10640.0,60.01123595505618,-75.62078651685393,365
1994,7972.0,77.67816091954023,-58.979885057471265,365
1995,13918.0,64.7032967032967,-66.46280991735537,365
1996,12728.0,63.82596685082873,-68.16155988857939,366
1997,10820.0,54.41988950276243,-83.43490304709141,365
1998,8970.0,47.06611570247934,-69.9641873278237,365
1999,10781.0,61.47107438016529,-58.25966850828729,365
2000,11087.0,2.7227138643067845,-36.00280112044818,366
2001,8511.0,71.23032069970846,-53.91743119266055,365
2002,6099.0,77.30494505494505,-69.30446927374301,365
2003,10718.0,74.37362637362638,-56.29945054945055,365
2004,9176.0,66.66120218579235,-61.830601092896174,366
2005,11559.0,129.53179190751445,-68.85195530726257,365
2006,9639.0,215.4856230031949,-96.24137931034483,365
2007,10257.0,122.34202898550724,-52.306748466257666,365
2008,11334.0,58.80054644808743,-66.23055555555555,366
2009,10013.0,56.73887240356083,-65.95845697329376,365
2010,11184.0,90.88300835654596,-59.72299168975069,365
2011,11971.0,62.14246575342466,-61.510989010989015,365
2012,7785.0,79.93715846994536,-47.032786885245905,366
2013,11292.0,60.6,-62.61095890410959,365
2014,12100.0,64.7095890410959,-55.967123287671235,365
2015,9744.0,78.30410958904109,-47.136986301369866,365
2016,10045.0,75.34972677595628,-50.09041095890411,366
2017,11033.0,78.12637362637362,-45.887362637362635,365
2018,8981.0,75.62739726027397,-49.887362637362635,365
2019,9761.0,71.41917808219178,-58.10958904109589,365
2020,9330.0,80.05191256830601,-50.849726775956285,366
2021,10043.0,75.5939226519337,-52.27624309392265,365
2022,10724.0,63.81868131868132,-62.33425414364641,365
2023,9780.0,63.13019390581717,-61.575,365
2024,8089.0,70.55932203389831,-34.73898305084746,296
