DATE,PRCP,TMAX,TMIN,NROWS
1978,0.0,,,90
1979,431.0,,,353
1980,1087.0,,,362
1981,8346.0,,,365
1982,8091.0,,,365
1983,10069.0,,,365
1984,7018.0,,,366
1985,7150.0,,,365
1986,6923.0,,,365
1987,5374.0,0.0,0.0,365
1988,5651.0,19.94459833795014,-24.249307479224377,366
1989,5805.0,83.84593837535014,-47.20448179271709,365
1990,7251.0,84.68493150684931,-56.21095890410959,365
1991,6226.0,84.53698630136986,-56.09315068493151,365
1992,6691.0,76.89444444444445,-40.07479224376731,366
1993,9120.0,39.43695014662757,-91.7,365
1994,5352.0,170.23661971830987,13.518309859154929,365
1995,8664.0,99.6986301369863,-44.032876712328765,365
1996,7463.0,101.95068493150686,-47.75414364640884,366
1997,7056.0,100.27823691460055,-50.3213296398892,365
1998,7825.0,103.32212885154061,-39.79775280898876,365
1999,7726.0,104.64010989010988,-46.15977961432507,365
2000,5873.0,110.11475409836065,-44.333333333333336,366
2001,4400.0,115.01095890410959,-41.945205479452056,365
2002,5261.0,107.44931506849315,-50.06077348066298,365
2003,7564.0,110.82967032967034,-39.81440443213297,365
2004,5948.0,113.36438356164383,-44.8489010989011,366
2005,8084.0,117.18681318681318,-46.13498622589532,365
2006,5814.0,112.6082191780822,-47.785714285714285,365
2007,7007.0,108.32782369146005,-38.42817679558011,365
2008,6729.0,92.18579234972678,-52.704918032786885,366
2009,7821.0,94.78904109589041,-49.56986301369863,365
2010,9019.0,100.28493150684932,-46.32876712328767,365
2011,7957.0,93.69315068493151,-47.955922865013775,365
2012,4703.0,119.91256830601093,-32.97267759562842,366
2013,6193.0,99.78630136986301,-47.797260273972604,365
2014,5715.0,101.15342465753425,-41.86027397260274,365
2015,6026.0,111.7972602739726,-33.917355371900825,365
2016,6302.0,110.40983606557377,-37.77049180327869,366
2017,5728.0,112.69421487603306,-32.56473829201102,365
2018,4451.0,114.75616438356164,-35.37808219178082,365
2019,5464.0,102.12362637362638,-42.774104683195596,365
2020,4627.0,114.62841530054645,-40.60928961748634,366
2021,5090.0,116.4876712328767,-31.621917808219177,365
2022,4905.0,108.1013698630137,-44.4,365
2023,5486.0,102.44628099173553,-43.72451790633609,365
2024,4629.0,131.26779661016948,-18.949152542372882,296
