DATE,PRCP,TMAX,TMIN,NROWS
1986,2766.0,43.62376237623762,-89.37623762376238,105
1987,8905.0,101.88674033149171,-48.43646408839779,365
1988,10529.0,98.31967213114754,-48.467213114754095,366
1989,10200.0,104.6043956043956,-45.494505494505496,365
1990,9592.0,107.56164383561644,-46.967123287671235,365
1991,11166.0,115.70689655172414,-50.39193083573487,365
1992,10959.0,-9.832876712328767,-187.24725274725276,366
1993,14511.0,82.24464831804282,-87.78840579710145,365
1994,8437.0,102.37606837606837,-35.84411764705882,365
1995,16183.0,56.3,-90.53631284916202,365
1996,15494.0,91.47527472527473,-45.608815426997246,366
1997,14606.0,90.01101928374656,-49.50276243093923,365
1998,11639.0,92.77747252747253,-38.642857142857146,365
1999,11229.0,97.60497237569061,-41.77839335180055,365
2000,12881.0,100.3917808219178,-37.9013698630137,366
2001,8943.0,104.20604395604396,-35.78021978021978,365
2002,8960.0,98.64109589041095,-45.349862258953166,365
2003,12175.0,103.37362637362638,-36.33516483516483,365
2004,10318.0,101.24109589041096,-42.354395604395606,366
2005,13573.0,105.33698630136986,-40.61813186813187,365
2006,11414.0,159.99701492537312,-55.9171270718232,365
2007,10248.0,171.99694189602445,-44.892857142857146,365
2008,12760.0,85.52617079889806,-37.58743169398907,366
2009,10837.0,91.40220385674931,-32.52054794520548,365
2010,13728.0,93.03856749311295,-28.145205479452056,365
2011,13556.0,200.83333333333334,-63.14327485380117,365
2012,8630.0,199.40878378378378,-31.69672131147541,366
2013,12056.0,213.44516129032257,-51.47945205479452,365
2014,14333.0,210.43396226415095,-50.27414330218068,365
2015,9964.0,92.10526315789474,-35.33152173913044,365
2016,11456.0,98.88571428571429,-22.846153846153847,366
2017,9886.0,136.93333333333334,-30.53811659192825,365
2018,10260.0,112.63713080168776,-20.898809523809526,365
2019,11716.0,87.53994490358127,-26.316804407713498,365
2020,8833.0,99.78415300546447,-20.62295081967213,366
2021,10161.0,100.6109589041096,-15.673972602739726,365
2022,11968.0,91.72602739726027,-28.005479452054793,365
2023,9972.0,91.63287671232877,-24.958904109589042,365
2024,9331.0,116.57142857142857,-6.214285714285714,296
