DATE,PRCP,TMAX,TMIN,NROWS
1978,1851.0,,,93
1979,6921.0,,,365
1980,6771.0,,,366
1981,7164.0,,,365
1982,6817.0,,,365
1983,11209.0,,,365
1984,8010.0,,,366
1985,7534.0,0.0,0.0,365
1986,7785.0,60.701117318435756,-55.25698324022346,365
1987,6108.0,36.02209944751381,-95.56267409470752,365
1988,6107.0,103.66120218579235,-95.1311475409836,366
1989,4481.0,85.91168091168092,-124.76487252124646,365
1990,8102.0,121.3489010989011,-76.30027548209367,365
1991,7577.0,105.49166666666666,-80.58333333333333,365
1992,7550.0,78.55191256830601,-76.7431693989071,366
1993,7619.0,35.084375,-63.54205607476636,365
1994,6785.0,66.25766871165644,-75.98153846153846,365
1995,8236.0,62.06575342465754,-70.73901098901099,365
1996,8313.0,65.08875739644971,-69.58160237388724,366
1997,7295.0,67.07977207977208,-72.81142857142858,365
1998,6454.0,67.35164835164835,-68.87878787878788,365
1999,5743.0,69.8236914600551,-67.29834254143647,365
2000,7721.0,71.12328767123287,-66.47671232876712,366
2001,6097.0,71.6565934065934,-65.85164835164835,365
2002,4171.0,70.85479452054794,-72.76519337016575,365
2003,6253.0,63.58791208791209,-66.01657458563535,365
2004,6252.0,70.87397260273973,-70.54945054945055,366
2005,7141.0,73.00821917808219,-67.0934065934066,365
2006,6660.0,63.505494505494504,-70.23756906077348,365
2007,7099.0,65.87945205479453,-63.570247933884296,365
2008,6178.0,53.74863387978142,-73.8743169398907,366
2009,6559.0,48.868035190615835,-74.69208211143695,365
2010,6865.0,68.25714285714285,-65.98857142857143,365
2011,5446.0,58.65706051873199,-74.13832853025937,365
2012,4382.0,138.18457300275483,-68.0958904109589,366
2013,6157.0,138.8374655647383,-83.62258953168045,365
2014,7806.0,120.41040462427746,-67.24786324786325,365
2015,6686.0,70.58543417366947,-52.48618784530387,365
2016,5613.0,69.3963133640553,-66.14498141263941,366
2017,7045.0,108.49438202247191,-70.68376068376068,365
2018,4141.0,86.0,-85.05460750853243,365
2019,7899.0,100.17088607594937,-84.99009900990099,365
2020,5497.0,170.98181818181817,-78.4931506849315,366
2021,7037.0,163.74789915966386,-72.52472527472527,365
2022,7268.0,78.52234636871508,-71.33333333333333,365
2023,7099.0,71.24931506849315,-68.6082191780822,365
2024,8319.0,92.22372881355932,-47.33898305084746,296
