DATE,PRCP,TMAX,TMIN,NROWS
1986,2788.0,,,205
1987,5649.0,,,365
1988,4124.0,,,366
1989,3142.0,,,365
1990,4812.0,,,365
1991,3803.0,,,365
1992,6084.0,,,366
1993,7071.0,,,365
1994,5097.0,,,365
1995,5550.0,,,365
1996,4685.0,,,366
1997,5526.0,,,365
1998,6892.0,,,365
1999,3898.0,,,365
2000,4385.0,,,366
2001,4104.0,,,365
2002,2985.0,,,365
2003,3539.0,,,365
2004,7147.0,138.80536912751677,10.483221476510067,366
2005,6793.0,151.72054794520548,12.465753424657533,365
2006,5246.0,154.8931506849315,10.610958904109589,365
2007,4028.0,162.2219178082192,11.071428571428571,365
2008,5245.0,152.42349726775956,3.0027322404371586,366
2009,3624.0,153.6054794520548,4.67945205479452,365
2010,8650.0,146.23013698630137,7.2164383561643834,365
2011,4717.0,147.06301369863013,2.9452054794520546,365
2012,4384.0,164.45901639344262,15.819672131147541,366
2013,5072.0,151.65205479452055,5.578082191780822,365
2014,4434.0,163.33972602739726,18.216438356164385,365
2015,6364.0,159.04657534246576,17.446575342465753,365
2016,5427.0,160.52732240437157,15.002732240437158,366
2017,4361.0,167.96438356164384,19.646575342465752,365
2018,4668.0,165.54269972451792,17.87878787878788,365
2019,7457.0,149.06301369863013,7.602739726027397,365
2020,2558.0,171.4344262295082,16.21311475409836,366
2021,5936.0,167.83561643835617,18.232876712328768,365
2022,4489.0,159.27671232876713,11.123287671232877,365
2023,6853.0,150.26849315068492,5.873972602739726,365
2024,3724.0,185.81756756756758,34.0,296
