DATE,PRCP,TMAX,TMIN,NROWS
1989,7899.0,52.007936507936506,-46.0,126
1990,20214.0,75.58082191780822,-46.45753424657534,365
1991,15762.0,77.78630136986301,-45.55068493150685,365
1992,15002.0,85.83060109289617,-37.959016393442624,366
1993,15146.0,66.72364672364672,-50.72364672364672,365
1994,15067.0,89.74293785310735,-38.9774011299435,365
1995,16694.0,73.64657534246575,-43.701369863013696,365
1996,20537.0,69.72404371584699,-53.204918032786885,366
1997,18794.0,74.22527472527473,-47.20661157024794,365
1998,16893.0,88.0986301369863,-28.534246575342465,365
1999,18664.0,86.66575342465754,-24.65934065934066,365
2000,13988.0,86.26502732240438,-29.401639344262296,366
2001,14822.0,93.83561643835617,-29.057692307692307,365
2002,15913.0,82.23013698630137,-37.71780821917808,365
2003,17839.0,95.45479452054795,-27.557692307692307,365
2004,17941.0,89.42622950819673,-23.762295081967213,366
2005,15171.0,93.51506849315068,-30.084931506849315,365
2006,18228.0,100.68767123287671,-27.720547945205478,365
2007,14412.0,99.02739726027397,-25.373626373626372,365
2008,18856.0,86.34972677595628,-38.39890710382514,366
2009,16263.0,91.30958904109589,-36.76438356164383,365
2010,19699.0,91.94246575342466,-30.04931506849315,365
2011,20128.0,87.84931506849315,-37.80821917808219,365
2012,20077.0,100.08743169398907,-25.685792349726775,366
2013,18121.0,95.89041095890411,-29.183561643835617,365
2014,19007.0,95.88219178082191,-28.24109589041096,365
2015,12959.0,109.91780821917808,-18.09315068493151,365
2016,19061.0,99.04098360655738,-21.10655737704918,366
2017,18911.0,97.90958904109588,-26.953424657534246,365
2018,20708.0,95.1041095890411,-28.88736263736264,365
2019,13697.0,84.53698630136986,-37.065934065934066,365
2020,19272.0,94.1041095890411,-29.284931506849315,366
2021,16677.0,97.68219178082192,-26.40821917808219,365
2022,16829.0,94.08493150684932,-35.25753424657534,365
2023,12983.0,99.15426997245179,-28.225895316804408,365
2024,9664.0,120.61486486486487,-11.449324324324325,296
