DATE,PRCP,TMAX,TMIN,NROWS
1967,0.0,,,93
1968,0.0,,,366
1969,0.0,,,365
1970,0.0,,,365
1971,0.0,,,365
1972,0.0,,,366
1973,0.0,,,365
1974,0.0,,,365
1975,0.0,,,365
1976,0.0,,,366
1977,0.0,,,365
1978,1879.0,,,365
1979,4838.0,,,365
1980,8951.0,,,366
1981,6462.0,,,365
1982,8242.0,,,365
1983,6663.0,,,365
1984,7932.0,,,366
1985,5652.0,,,365
1986,6645.0,,,365
1987,4588.0,,,365
1988,6177.0,53.154545454545456,-30.854545454545455,366
1989,7297.0,82.38082191780822,-25.791780821917808,365
1990,8205.0,82.02739726027397,-28.81917808219178,365
1991,5294.0,80.34246575342466,-27.4986301369863,365
1992,5539.0,85.6120218579235,-20.915300546448087,366
1993,6940.0,66.74358974358974,-34.97435897435897,365
1994,6108.0,87.55211267605634,-24.24507042253521,365
1995,7808.0,72.32692307692308,-30.252747252747252,365
1996,7934.0,68.44808743169399,-40.59016393442623,366
1997,6906.0,73.34246575342466,-24.394520547945206,365
1998,7802.0,83.93406593406593,-8.425824175824175,365
1999,6045.0,82.56043956043956,-13.09641873278237,365
2000,5670.0,81.95628415300547,-15.128415300546449,366
2001,6279.0,85.71232876712328,-12.421917808219177,365
2002,5214.0,76.85753424657534,-17.53698630136986,365
2003,7445.0,96.63013698630137,-2.0246575342465754,365
2004,6356.0,90.49453551912568,-1.5081967213114753,366
2005,7425.0,92.47397260273972,-6.83013698630137,365
2006,6459.0,99.13150684931507,-0.5424657534246575,365
2007,6045.0,98.3945205479452,-1.879120879120879,365
2008,7727.0,83.68579234972678,-14.183060109289617,366
2009,5695.0,87.61643835616438,-11.273972602739725,365
2010,6653.0,88.06027397260274,-6.095890410958904,365
2011,7045.0,85.74246575342465,-11.021917808219179,365
2012,6331.0,100.67486338797814,-0.3005464480874317,366
2013,5112.0,93.68493150684931,-2.33972602739726,365
2014,6916.0,93.21917808219177,-6.701369863013698,365
2015,3797.0,107.57534246575342,8.465753424657533,365
2016,6508.0,99.49453551912568,3.081967213114754,366
2017,6985.0,96.18904109589042,-0.852054794520548,365
2018,8282.0,89.71232876712328,-4.2246575342465755,365
2019,7064.0,79.81917808219178,-13.591780821917808,365
2020,7368.0,90.72054794520548,-5.445983379501385,366
2021,5341.0,96.6,-1.0410958904109588,365
2022,6802.0,89.87671232876713,-8.512465373961218,365
2023,5900.0,95.07397260273973,1.3516483516483517,365
2024,3249.0,120.0945945945946,12.090592334494774,296
