DATE,PRCP,TMAX,TMIN,NROWS
1978,0.0,,,81
1979,507.0,,,356
1980,0.0,,,314
1981,3069.0,,,334
1982,9633.0,,,365
1983,10117.0,,,365
1984,7033.0,,,366
1985,5581.0,,,365
1986,7455.0,,,365
1987,5908.0,,,365
1988,4839.0,118.78294573643412,-18.68217054263566,366
1989,5527.0,116.09641873278237,-18.757575757575758,365
1990,5906.0,108.9041095890411,-20.767123287671232,365
1991,7327.0,110.95054945054945,-18.271978021978022,365
1992,5069.0,121.82739726027397,-8.306849315068494,366
1993,7050.0,104.51002865329512,-27.312320916905446,365
1994,5629.0,122.06179775280899,-11.188202247191011,365
1995,9593.0,108.6731843575419,-21.07843137254902,365
1996,9112.0,113.33150684931506,-19.84109589041096,366
1997,5674.0,113.1565934065934,-22.236263736263737,365
1998,8523.0,111.56749311294766,-18.214876033057852,365
1999,5649.0,121.4931506849315,-16.936813186813186,365
2000,6465.0,121.58904109589041,-14.063013698630137,366
2001,4688.0,126.41917808219178,-10.219178082191782,365
2002,5346.0,119.08219178082192,-19.681318681318682,365
2003,5446.0,127.36813186813187,-4.131868131868132,365
2004,6925.0,115.8879781420765,-1.0683060109289617,366
2005,8319.0,115.8027397260274,-3.197260273972603,365
2006,7477.0,117.85479452054794,-6.104109589041096,365
2007,5213.0,123.53424657534246,5.079452054794521,365
2008,5448.0,117.91256830601093,-0.06830601092896176,366
2009,6454.0,107.35342465753425,-3.706849315068493,365
2010,7289.0,100.0958904109589,-8.164383561643836,365
2011,6793.0,98.77808219178083,-11.997260273972604,365
2012,7479.0,113.63934426229508,0.6092896174863388,366
2013,3439.0,111.57808219178082,-0.4986301369863014,365
2014,6491.0,112.18356164383562,2.2383561643835614,365
2015,5773.0,117.9013698630137,10.312328767123288,365
2016,7021.0,109.5327868852459,2.639344262295082,366
2017,8752.0,108.30410958904109,1.6,365
2018,5368.0,105.18559556786704,-1.8440111420612812,365
2019,8193.0,94.00821917808219,-9.027397260273972,365
2020,3823.0,109.98087431693989,-0.592896174863388,366
2021,6925.0,110.87945205479453,3.4328767123287673,365
2022,5195.0,105.3972602739726,-3.0684931506849313,365
2023,7497.0,97.74794520547945,-3.745205479452055,365
2024,3779.0,131.27364864864865,18.05743243243243,296
