DATE,PRCP,TMAX,TMIN,NROWS
1968,0.0,,,93
1969,0.0,,,365
1970,0.0,,,365
1971,0.0,,,365
1972,0.0,,,366
1973,0.0,,,365
1974,0.0,,,365
1975,0.0,,,365
1976,0.0,,,366
1977,0.0,,,365
1978,0.0,,,365
1979,0.0,,,365
1980,0.0,,,366
1981,0.0,,,365
1982,0.0,,,365
1983,0.0,,,365
1984,0.0,,,366
1985,0.0,,,365
1986,0.0,,,365
1987,2411.0,,,365
1988,11286.0,2.3978494623655915,-55.064516129032256,366
1989,11781.0,43.21643835616438,-36.21095890410959,365
1990,15838.0,49.89041095890411,-30.77260273972603,365
1991,11871.0,46.23013698630137,-41.602739726027394,365
1992,9693.0,62.73497267759563,-17.956284153005466,366
1993,10344.0,44.8876404494382,-33.443820224719104,365
1994,10497.0,60.13687150837989,-21.589385474860336,365
1995,13476.0,51.71780821917808,-28.15068493150685,365
1996,14055.0,39.28415300546448,-39.31147540983606,366
1997,12266.0,51.87397260273973,-26.852054794520548,365
1998,13672.0,65.97260273972603,-9.964383561643835,365
1999,13346.0,60.47671232876712,-11.074175824175825,365
2000,9023.0,57.685792349726775,-15.819672131147541,366
2001,9608.0,64.89315068493151,-10.454794520547946,365
2002,11303.0,56.85205479452055,-16.01923076923077,365
2003,10111.0,67.27397260273973,-6.5698630136986305,365
2004,10593.0,65.82786885245902,-5.308743169398907,366
2005,10196.0,62.14246575342466,-9.827397260273973,365
2006,13645.0,71.1917808219178,-6.167123287671233,365
2007,11001.0,70.12602739726027,-7.931318681318682,365
2008,11159.0,64.20491803278688,-17.603825136612024,366
2009,11847.0,67.58630136986301,-15.692307692307692,365
2010,12688.0,68.15342465753425,-8.621917808219179,365
2011,14202.0,60.52876712328767,-17.53698630136986,365
2012,17232.0,69.25956284153006,-7.23224043715847,366
2013,11517.0,73.69041095890411,-5.764383561643836,365
2014,13369.0,71.83013698630137,-8.178082191780822,365
2015,11894.0,87.93424657534247,5.375342465753425,365
2016,14312.0,78.23224043715847,-0.5519125683060109,366
2017,14062.0,78.63287671232877,-7.043835616438356,365
2018,11404.0,76.47945205479452,-5.857534246575343,365
2019,10266.0,70.87671232876713,-15.005479452054795,365
2020,12356.0,74.68406593406593,-8.924581005586592,366
2021,14493.0,75.87123287671233,-6.024657534246575,365
2022,11367.0,75.93698630136986,-11.005509641873278,365
2023,10776.0,83.03021978021978,-3.608815426997245,365
2024,8600.0,98.76351351351352,8.84013605442177,296
