DATE,PRCP,TMAX,TMIN,NROWS
1980,0.0,,,93
1981,884.0,,,365
1982,5496.0,109.80582524271844,41.16504854368932,365
1983,910.0,-58.36734693877551,-101.0204081632653,365
1984,4866.0,18.451327433628318,-42.56637168141593,366
1985,7073.0,,,365
1986,7736.0,-66.23655913978494,-120.21505376344086,365
1987,4956.0,27.15068493150685,-67.06849315068493,365
1988,6099.0,25.34328358208955,-75.22388059701493,366
1989,6504.0,50.24271844660194,-55.3921568627451,365
1990,8587.0,89.47154471544715,-20.24390243902439,365
1991,6431.0,64.8913043478261,-30.905797101449274,365
1992,7160.0,5.7534246575342465,-82.68493150684931,366
1993,7858.0,40.35616438356164,-54.93150684931507,365
1994,7697.0,18.808864265927976,-75.95567867036011,365
1995,6743.0,23.034682080924856,-59.07514450867052,365
1996,5853.0,33.89067524115756,-63.69774919614148,366
1997,3968.0,35.160349854227405,-61.19533527696793,365
1998,5463.0,36.35057471264368,-56.00574712643678,365
1999,5593.0,3.6217105263157894,-94.66445182724253,365
2000,7369.0,20.60816326530612,-69.46530612244898,366
2001,5310.0,29.513432835820897,-57.17365269461078,365
2002,7695.0,35.52023121387283,-47.297687861271676,365
2003,8386.0,25.849557522123895,-68.59587020648968,365
2004,4098.0,35.98840579710145,-65.88985507246377,366
2005,6107.0,30.08359133126935,-55.4891640866873,365
2006,5415.0,37.61093247588425,-67.31935483870967,365
2007,5298.0,54.25153374233129,-49.91076923076923,365
2008,7000.0,12.008196721311476,-85.7972602739726,366
2009,5577.0,28.88186813186813,-72.65384615384616,365
2010,4558.0,19.964285714285715,-61.05234159779614,365
2011,6411.0,10.994459833795014,-69.51523545706371,365
2012,4534.0,-137.78846153846155,-282.760989010989,366
2013,5745.0,22.87987987987988,-46.86486486486486,365
2014,8394.0,25.45983379501385,-39.49307479224377,365
2015,7910.0,21.725274725274726,-44.16483516483517,365
2016,8955.0,31.66393442622951,-32.9207650273224,366
2017,6796.0,25.228813559322035,-43.02542372881356,365
2018,8538.0,24.15536723163842,-38.24293785310734,365
2019,8265.0,59.07857142857143,-9.707142857142857,365
2020,8947.0,52.46992481203007,-20.071428571428573,366
2021,7271.0,5.98314606741573,-71.29859154929578,360
2022,5694.0,18.491666666666667,-56.78551532033426,360
2023,6686.0,19.86813186813187,-55.2032967032967,365
2024,7252.0,36.614814814814814,-42.65185185185185,295
