DATE,PRCP,NROWS,MULT
2000,8350.0,366,1.0
2001,4495.0,365,0.5383233532934132
2002,9534.0,365,2.121023359288098
2003,2408.0,334,0.2525697503671072
2004,7693.0,337,3.1947674418604652
2005,4965.0,365,0.6453919147276745
2006,7713.0,365,1.5534743202416919
2007,6313.0,365,0.8184882665629457
2008,6462.0,366,1.0236020909234913
2009,7143.0,365,1.1053853296193128
2010,9544.0,365,1.3361332773344534
2011,2377.0,365,0.24905699916177704
2012,4941.0,366,2.0786705931846865
2013,6346.0,365,1.2843553936450112
2014,5579.0,365,0.8791364639142767
2015,8995.0,364,1.6122961104140527
2016,7137.0,366,0.7934408004446915
2017,5069.0,365,0.7102423987669889
2018,6743.0,365,1.3302426514105345
2019,6070.0,365,0.900192792525582
2020,6085.0,366,1.0024711696869852
2021,5980.0,365,0.9827444535743632
2022,4926.0,365,0.8237458193979933
2023,6160.0,365,1.2505075111652457
