DATE,PRCP,TMAX,TMIN,NROWS,MULT
2000,5549.0,104.72950819672133,11.628415300546449,366,1.0
2001,5851.0,108.6054794520548,14.41917808219178,365,1.0544242205802847
2002,4330.0,103.04657534246576,8.35068493150685,365,0.7400444368484019
2003,6362.0,114.22222222222224,21.997150997151,365,1.469284064665127
2004,6210.0,112.02793296089384,22.05586592178771,366,0.9761081420936812
2005,5953.0,112.18082191780822,22.51506849315069,365,0.9586151368760064
2006,6436.0,113.04407713498622,19.78787878787879,365,1.0811355619015623
2007,6422.0,117.81318681318682,21.550964187327825,365,0.9978247358607831
2008,5119.0,110.56284153005464,16.84153005464481,366,0.7971037060105886
2009,7069.0,109.213698630137,16.912087912087912,365,1.38093377612815
2010,8921.0,106.74794520547944,14.161643835616438,365,1.2619889659074834
2011,5169.0,106.5917808219178,12.926027397260274,365,0.5794193476067705
2012,5423.0,120.95628415300548,26.89344262295082,366,1.049139098471658
2013,4991.0,113.52602739726028,19.715068493150685,365,0.9203392955928453
2014,5378.0,119.67945205479452,30.372602739726027,365,1.0775395712282108
2015,6190.0,118.21917808219176,31.301369863013697,365,1.150985496467088
2016,6339.0,120.4672131147541,29.010928961748636,366,1.0240710823909531
2017,6638.0,122.18356164383562,29.04931506849315,365,1.04716832307935
2018,6059.0,117.53698630136986,25.50958904109589,365,0.9127749322084965
2019,8217.0,108.33972602739726,13.68219178082192,365,1.356164383561644
2020,3951.0,124.3169398907104,26.849726775956285,366,0.48083242059145676
2021,6669.0,121.04657534246576,27.372602739726027,365,1.6879271070615034
2022,6309.0,118.28767123287672,24.36164383561644,365,0.9460188933873145
2023,10144.0,108.0550964187328,14.203856749311294,365,1.6078617847519416
