DATE,PRCP,TMAX,TMIN,NROWS
1974,1054.0,306.0,210.3448275862069,43
1975,0.0,307.02702702702703,207.5,182
1976,3694.0,316.8932038834951,207.94117647058823,274
1977,5029.0,324.6031746031746,215.13513513513513,183
1978,9514.0,325.1807228915663,229.90384615384616,203
1979,8196.0,322.9577464788732,227.008547008547,201
1980,3883.0,318.7755102040816,221.71428571428572,150
1981,7890.0,316.54545454545456,221.77215189873417,126
1982,6494.0,315.65714285714284,223.29545454545453,206
1983,13154.0,329.14723926380367,226.6138613861386,344
1984,3062.0,340.68055555555554,215.8,158
1985,5753.0,315.64383561643837,224.6056338028169,123
1986,2255.0,334.43835616438355,216.8735632183908,111
1987,2335.0,342.2307692307692,221.45945945945945,63
1988,3089.0,310.2142857142857,227.7111111111111,62
1989,3380.0,316.775,225.36082474226805,122
1990,8962.0,317.44642857142856,225.4251968503937,208
1991,9976.0,315.5777777777778,222.91836734693877,195
1992,804.0,333.14285714285717,229.7826086956522,57
1993,9949.0,321.8611111111111,216.13924050632912,259
1994,9269.0,324.241610738255,216.42,306
1995,4430.0,334.5846153846154,215.75221238938053,176
1996,7227.0,314.3272727272727,223.8217054263566,277
1997,8108.0,318.74666666666667,224.54802259887006,319
1998,5344.0,334.2391304347826,227.8348623853211,183
2002,5806.0,318.8,222.12962962962962,120
2003,14534.0,325.12857142857143,223.40462427745663,306
2004,7249.0,335.1946902654867,224.90384615384616,347
2005,7953.0,334.8735632183908,227.34313725490196,357
2006,7949.0,330.25,226.0,362
2007,12363.0,325.41269841269843,223.78571428571428,358
2008,9944.0,328.3768115942029,216.60526315789474,362
2009,8005.0,328.3622047244094,218.6,360
2010,4930.0,333.49056603773585,223.84426229508196,228
2011,10748.0,331.22222222222223,222.7719298245614,328
2012,14080.0,333.0271739130435,220.32124352331607,366
2013,10475.0,338.6875,224.91194968553458,364
2014,7852.0,345.14925373134326,225.05,363
2015,10927.0,340.90909090909093,229.64556962025316,349
2016,1163.0,363.3404255319149,229.50943396226415,270
2017,0.0,,,23
2018,7402.0,320.54285714285714,226.0,180
2020,0.0,,,121
2021,0.0,,,102
2022,0.0,,,286
2023,0.0,,,178
2024,0.0,,,114
